norm,position,adp,value,wk_p90,wk_p10,role,finish,season,ceiling,floor,value_rk,adp_rk,ceiling_rk,floor_rk,role_rk,_c
justin fields,QB,48.8,10.980000000000018,38.044,10.024000000000001,331.98,270.18,2023,38.044,10.024000000000001,65.0,47.0,4.0,20.0,15.0,37.97
chris godwin,WR,49.3,52.400000000000006,21.78,10.52,145.0,207.2,2023,21.78,10.52,39.0,48.0,69.0,19.0,61.0,48.99999999999999
terry mclaurin,WR,49.7,56.599999999999994,19.3,7.2,127.0,203.20000000000002,2023,19.3,7.2,37.0,49.0,88.0,43.0,75.0,55.9
justin herbert,QB,50.3,14.259999999999991,29.34,8.6,335.26,274.16,2023,29.34,8.6,62.0,50.0,22.0,30.0,14.0,41.76
miles sanders,RB,52.9,63.29999999999998,28.94,4.800000000000001,285.0,91.60000000000001,2023,28.94,4.800000000000001,32.0,51.0,27.0,70.0,22.0,37.959999999999994
diontae johnson,WR,53.4,4.299999999999983,15.08,5.680000000000001,154.0,152.7,2023,15.08,5.680000000000001,74.0,52.0,118.0,55.0,57.0,71.44
j k dobbins,RB,55.1,-76.2,19.29,3.5300000000000002,100.0,11.7,2023,19.29,3.5300000000000002,124.0,53.0,89.0,93.0,96.0,90.03
george kittle,TE,55.7,59.30000000000001,24.94,4.28,86.0,203.20000000000002,2023,24.94,4.28,34.0,54.0,42.0,79.0,109.0,55.84
tyler lockett,WR,55.7,68.9,23.55,4.75,117.0,198.4,2023,23.55,4.75,31.0,54.0,56.0,71.0,81.0,52.699999999999996
alexander mattison,RB,56.9,-69.0,10.56,0.22000000000000003,92.0,137.20000000000002,2023,10.56,0.22000000000000003,118.0,56.0,134.0,132.0,105.0,101.30999999999999
dameon pierce,RB,57.0,13.0,19.86,4.66,259.0,76.7,2023,19.86,4.66,63.0,57.0,84.0,74.0,32.0,61.099999999999994
brandon aiyuk,WR,57.0,57.400000000000006,22.740000000000006,7.300000000000001,116.0,251.2,2023,22.740000000000006,7.300000000000001,36.0,57.0,63.0,41.0,83.0,54.55999999999999
trevor lawrence,QB,58.4,36.620000000000005,33.292,9.732,357.62,316.54,2023,33.292,9.732,49.0,59.0,13.0,24.0,9.0,37.769999999999996
christian kirk,WR,60.3,71.5,23.46,5.0,138.0,154.26,2023,23.46,5.0,27.0,60.0,57.0,67.0,68.0,51.25
darren waller,TE,60.3,-58.39999999999999,16.439999999999998,5.340000000000001,43.0,113.2,2023,16.439999999999998,5.340000000000001,111.0,60.0,111.0,62.0,131.0,95.27000000000001
cam akers,RB,63.1,-12.099999999999994,17.72,0.7000000000000002,206.0,46.699999999999996,2023,17.72,0.7000000000000002,91.0,62.0,99.0,128.0,46.0,79.58000000000001
mike williams,WR,63.3,4.099999999999994,23.560000000000002,3.14,93.0,50.2,2023,23.560000000000002,3.14,75.0,63.0,54.0,97.0,103.0,73.36
michael pittman,WR,63.8,46.099999999999994,22.75,5.65,144.0,248.20000000000002,2023,22.75,5.65,43.0,64.0,62.0,56.0,63.0,56.63000000000001
james conner,RB,66.2,44.79999999999998,23.56,7.58,241.0,201.5,2023,23.56,7.58,47.0,65.0,55.0,37.0,35.0,51.34
mike evans,WR,67.6,53.0,25.619999999999997,6.82,127.0,282.5,2023,25.619999999999997,6.82,38.0,66.0,34.0,48.0,75.0,51.93
rachaad white,RB,68.1,-12.300000000000011,17.520000000000003,0.9400000000000002,187.0,271.9,2023,17.520000000000003,0.9400000000000002,92.0,67.0,102.0,125.0,48.0,82.01
alvin kamara,RB,69.2,62.29999999999998,22.839999999999996,7.54,300.0,227.0,2023,22.839999999999996,7.54,33.0,68.0,61.0,38.0,19.0,46.79
dallas goedert,TE,69.7,0.0,17.07,7.65,69.0,136.3,2023,17.07,7.65,81.0,69.0,108.0,35.0,117.0,84.44
george pickens,WR,70.0,-7.900000000000006,17.26,1.26,87.0,208.8,2023,17.26,1.26,89.0,70.0,105.0,123.0,108.0,91.41
marquise brown,WR,72.5,-16.400000000000006,21.700000000000003,6.050000000000001,108.0,134.70000000000002,2023,21.700000000000003,6.050000000000001,95.0,71.0,70.0,52.0,89.0,79.38999999999999
javonte williams,RB,72.8,-113.4,18.110000000000003,5.29,69.0,177.2,2023,18.110000000000003,5.29,130.0,72.0,96.0,64.0,117.0,99.91
jahan dotson,WR,73.1,-43.80000000000001,19.44,2.4200000000000004,63.0,124.8,2023,19.44,2.4200000000000004,104.0,73.0,87.0,106.0,121.0,94.32999999999998
kyle pitts,TE,74.6,-67.6,14.229999999999999,3.86,59.0,137.3,2023,14.229999999999999,3.86,116.0,74.0,121.0,84.0,125.0,103.41
d andre swift,RB,75.9,31.700000000000017,24.880000000000006,7.109999999999999,169.0,201.3,2023,24.880000000000006,7.109999999999999,51.0,75.0,43.0,45.0,53.0,56.64
deshaun watson,QB,76.2,-221.42000000000002,24.73,8.57,99.58,98.8,2023,24.73,8.57,136.0,76.0,46.0,31.0,98.0,88.75
david montgomery,RB,76.8,24.30000000000001,19.65,3.75,241.0,207.20000000000002,2023,19.65,3.75,59.0,77.0,86.0,85.0,35.0,67.47999999999999
james cook,RB,77.6,-49.7,14.2,0.5,121.0,236.70000000000002,2023,14.2,0.5,108.0,78.0,122.0,130.0,78.0,98.55999999999999
isiah pacheco,RB,79.2,-18.400000000000006,13.980000000000002,0.78,184.0,215.9,2023,13.980000000000002,0.78,96.0,79.0,123.0,127.0,49.0,90.88
dak prescott,QB,82.2,-74.39999999999998,29.084,11.076,246.60000000000002,414.84000000000003,2023,29.084,11.076,122.0,80.0,24.0,17.0,34.0,71.21
tua tagovailoa,QB,84.9,-38.079999999999984,34.160000000000004,12.607999999999999,282.92,338.36,2023,34.160000000000004,12.607999999999999,101.0,81.0,10.0,9.0,25.0,60.779999999999994
brandin cooks,WR,85.1,-26.80000000000001,18.000000000000004,6.380000000000001,95.0,171.2,2023,18.000000000000004,6.380000000000001,99.0,82.0,97.0,51.0,102.0,90.62999999999998
courtland sutton,WR,87.0,-13.0,17.1,2.74,110.0,196.20000000000002,2023,17.1,2.74,93.0,83.0,107.0,103.0,86.0,92.17000000000002
evan engram,TE,87.9,31.700000000000017,16.62,1.8599999999999999,100.0,234.3,2023,16.62,1.8599999999999999,51.0,84.0,110.0,117.0,96.0,82.88999999999999
treylon burks,WR,88.7,-84.3,12.600000000000001,3.1,58.0,39.9,2023,12.600000000000001,3.1,125.0,85.0,130.0,98.0,126.0,112.16
antonio gibson,RB,88.9,8.5,18.68,5.74,207.0,131.4,2023,18.68,5.74,70.0,86.0,91.0,54.0,45.0,73.71
gabe davis,WR,89.5,1.1999999999999886,20.3,5.380000000000001,93.0,161.4,2023,20.3,5.380000000000001,79.0,87.0,81.0,61.0,103.0,84.1
michael thomas,WR,91.0,-121.30000000000001,21.86,11.620000000000001,22.0,89.8,2023,21.86,11.620000000000001,133.0,88.0,68.0,13.0,135.0,99.69999999999999
aj dillon,RB,91.7,10.200000000000017,20.42,3.3000000000000003,229.0,117.60000000000001,2023,20.42,3.3000000000000003,66.0,89.0,79.0,94.0,38.0,73.0
juju smith schuster,WR,93.3,16.900000000000006,22.35,4.7,101.0,61.0,2023,22.35,4.7,61.0,90.0,65.0,73.0,95.0,76.36
brian robinson,RB,94.2,-44.7,14.450000000000001,2.5500000000000007,217.0,200.10000000000002,2023,14.450000000000001,2.5500000000000007,105.0,91.0,119.0,104.0,42.0,93.8
khalil herbert,RB,94.4,-39.599999999999994,15.86,2.3000000000000003,141.0,112.5,2023,15.86,2.3000000000000003,102.0,92.0,114.0,111.0,65.0,96.24
pat freiermuth,TE,96.1,5.0,15.5,4.360000000000001,98.0,74.8,2023,15.5,4.360000000000001,73.0,93.0,115.0,78.0,99.0,90.81
elijah moore,WR,97.2,-84.30000000000001,11.370000000000003,2.1,70.0,136.1,2023,11.370000000000003,2.1,126.0,94.0,131.0,114.0,116.0,114.96000000000001
rashaad penny,RB,97.3,-105.2,20.700000000000003,3.0600000000000005,62.0,4.8,2023,20.700000000000003,3.0600000000000005,128.0,95.0,77.0,99.0,122.0,105.99000000000001
samaje perine,RB,99.3,-15.300000000000011,20.4,2.4,146.0,125.3,2023,20.4,2.4,94.0,96.0,80.0,109.0,60.0,88.03
kirk cousins,QB,99.4,28.579999999999984,29.752,11.475999999999999,349.58,193.74,2023,29.752,11.475999999999999,54.0,97.0,21.0,14.0,11.0,51.709999999999994
kadarius toney,WR,100.0,-113.1,13.720000000000002,1.2000000000000002,27.0,53.0,2023,13.720000000000002,1.2000000000000002,129.0,98.0,126.0,124.0,134.0,119.56
rashod bateman,WR,102.0,-116.9,17.35,2.35,28.0,76.5,2023,17.35,2.35,132.0,99.0,104.0,110.0,133.0,115.67
aaron rodgers,QB,103.6,-25.80000000000001,21.592,13.064,295.2,0.0,2023,21.592,13.064,98.0,100.0,72.0,7.0,21.0,76.0
david njoku,TE,103.8,0.8000000000000114,17.530000000000005,3.1900000000000004,82.0,205.2,2023,17.530000000000005,3.1900000000000004,80.0,101.0,101.0,96.0,110.0,95.69999999999999
daniel jones,QB,103.9,0.0,28.71,11.14,321.0,62.96000000000001,2023,28.71,11.14,81.0,102.0,28.0,15.0,18.0,63.69
jamaal williams,RB,104.2,70.5,24.1,3.58,278.0,60.800000000000004,2023,24.1,3.58,28.0,103.0,51.0,90.0,26.0,58.68
skyy moore,WR,109.1,-123.0,7.45,0.0,36.0,53.7,2023,7.45,0.0,134.0,104.0,136.0,133.0,132.0,124.99
jakobi meyers,WR,109.4,9.900000000000006,20.790000000000003,6.4,98.0,220.58,2023,20.790000000000003,6.4,68.0,105.0,74.0,50.0,99.0,83.57
geno smith,QB,109.9,50.879999999999995,30.404,13.591999999999999,371.88,269.26,2023,30.404,13.591999999999999,41.0,106.0,19.0,6.0,7.0,48.989999999999995
damien harris,RB,110.6,-66.5,15.4,2.0,129.0,19.0,2023,15.4,2.0,114.0,107.0,116.0,116.0,72.0,106.1
jerick mckinnon,RB,111.3,38.900000000000006,26.440000000000005,2.8400000000000003,143.0,86.36,2023,26.440000000000005,2.8400000000000003,48.0,108.0,33.0,101.0,64.0,69.41
nico collins,WR,113.1,-75.3,12.839999999999998,5.95,66.0,258.4,2023,12.839999999999998,5.95,123.0,109.0,129.0,53.0,120.0,114.52999999999999
elijah mitchell,RB,115.1,-113.80000000000001,14.420000000000002,4.82,49.0,47.5,2023,14.420000000000002,4.82,131.0,110.0,120.0,69.0,129.0,118.07999999999998
allen lazard,WR,115.3,2.4000000000000057,17.6,5.640000000000001,102.0,60.1,2023,17.6,5.640000000000001,77.0,111.0,100.0,57.0,94.0,92.48999999999998
dalton schultz,TE,117.4,1.5,18.419999999999998,1.4000000000000004,89.0,152.5,2023,18.419999999999998,1.4000000000000004,78.0,112.0,93.0,121.0,107.0,98.25999999999999
jaylen warren,RB,119.8,-64.10000000000001,11.3,1.3,110.0,200.4,2023,11.3,1.3,113.0,113.0,133.0,122.0,86.0,113.18
jameson williams,WR,120.3,-157.3,7.550000000000001,0.0,10.0,80.3,2023,7.550000000000001,0.0,135.0,114.0,135.0,133.0,136.0,128.70999999999998
jared goff,QB,122.6,25.319999999999993,33.836,7.316000000000001,346.32,353.1,2023,33.836,7.316000000000001,58.0,115.0,12.0,40.0,12.0,58.66
raheem mostert,RB,122.8,12.900000000000006,20.049999999999997,3.6,223.0,269.7,2023,20.049999999999997,3.6,64.0,116.0,82.0,89.0,41.0,81.14000000000001
rondale moore,WR,123.2,-84.5,19.9,2.41,62.0,105.0,2023,19.9,2.41,127.0,117.0,83.0,107.0,122.0,113.92999999999999
tyler allgeier,RB,125.0,0.0,17.0,3.65,227.0,135.6,2023,17.0,3.65,81.0,118.0,109.0,88.0,40.0,91.48
adam thielen,WR,126.3,5.599999999999994,18.66,3.74,108.0,229.0,2023,18.66,3.74,71.0,119.0,92.0,86.0,89.0,92.92999999999999
romeo doubs,WR,127.7,-68.80000000000001,16.1,0.5600000000000005,68.0,174.4,2023,16.1,0.5600000000000005,117.0,120.0,113.0,129.0,119.0,118.32
darnell mooney,WR,127.8,-70.9,13.8,1.8,62.0,78.9,2023,13.8,1.8,120.0,121.0,125.0,118.0,122.0,121.36
russell wilson,QB,129.9,-59.24000000000001,30.536,9.36,261.76,314.90000000000003,2023,30.536,9.36,112.0,122.0,17.0,26.0,31.0,79.73000000000002
tyler boyd,WR,130.4,-7.280000000000001,17.5,3.6500000000000004,82.0,144.8,2023,17.5,3.6500000000000004,88.0,123.0,103.0,87.0,110.0,104.43
devin singletary,RB,130.7,26.5,19.1,4.75,229.0,169.34,2023,19.1,4.75,57.0,124.0,90.0,71.0,38.0,81.17
kenneth gainwell,RB,131.1,-69.5,11.36,0.8400000000000001,82.0,97.38,2023,11.36,0.8400000000000001,119.0,125.0,132.0,126.0,110.0,122.27999999999997
zay jones,WR,131.1,23.69999999999999,25.0,3.9000000000000004,125.0,78.1,2023,25.0,3.9000000000000004,60.0,125.0,41.0,83.0,77.0,80.24
greg dulcich,TE,131.4,-57.09999999999998,13.96,2.1,55.0,5.5,2023,13.96,2.1,110.0,127.0,124.0,114.0,127.0,120.44999999999999
tyler higbee,TE,131.6,8.800000000000011,16.3,2.4000000000000004,108.0,108.5,2023,16.3,2.4000000000000004,69.0,128.0,112.0,108.0,89.0,100.16999999999999
cordarrelle patterson,RB,132.4,-6.700000000000017,21.92,4.1000000000000005,175.0,36.9,2023,21.92,4.1000000000000005,87.0,129.0,67.0,82.0,52.0,90.39999999999999
jeff wilson,RB,133.2,5.099999999999994,18.200000000000003,2.55,213.0,41.300000000000004,2023,18.200000000000003,2.55,72.0,130.0,95.0,105.0,43.0,91.49999999999999
d onta foreman,RB,137.1,-28.400000000000006,20.75,0.35,212.0,91.2,2023,20.75,0.35,100.0,131.0,76.0,131.0,44.0,98.74999999999999
chig okonkwo,TE,140.4,-47.999999999999986,13.0,0.0,49.0,113.4,2023,13.0,0.0,106.0,132.0,127.0,133.0,129.0,122.92
dj chark,WR,143.2,-74.2,15.2,0.0,52.0,117.5,2023,15.2,0.0,121.0,133.0,117.0,133.0,128.0,125.77
michael gallup,WR,144.6,-67.0,12.910000000000002,1.44,74.0,87.8,2023,12.910000000000002,1.44,115.0,134.0,128.0,120.0,113.0,123.08999999999999
derek carr,QB,145.3,-53.920000000000016,24.856,4.892000000000001,267.08,293.12,2023,24.856,4.892000000000001,109.0,135.0,45.0,68.0,28.0,90.25999999999999
cole kmet,TE,146.0,4.099999999999994,18.220000000000002,1.5000000000000002,71.0,181.1,2023,18.220000000000002,1.5000000000000002,75.0,136.0,94.0,119.0,115.0,105.8
christian mccaffrey,RB,1.4,218.8,36.3,15.0,355.0,49.800000000000004,2024,36.3,15.0,2.0,1.0,6.0,3.0,7.0,3.24
breece hall,RB,2.2,112.0,27.919999999999998,3.34,318.0,240.9,2024,27.919999999999998,3.34,9.0,2.0,34.0,103.0,16.0,19.03
tyreek hill,WR,2.6,204.00000000000003,32.2,11.900000000000002,177.0,218.2,2024,32.2,11.900000000000002,3.0,3.0,13.0,13.0,53.0,13.0
ceedee lamb,WR,3.7,230.80000000000004,40.1,11.1,195.0,263.40000000000003,2024,40.1,11.1,1.0,4.0,1.0,17.0,48.0,10.07
bijan robinson,RB,4.9,75.80000000000001,23.160000000000004,5.700000000000001,300.0,339.70000000000005,2024,23.160000000000004,5.700000000000001,26.0,5.0,64.0,67.0,20.0,28.51
amon ra st brown,WR,6.2,158.50000000000003,29.5,14.55,168.0,320.18,2024,29.5,14.55,4.0,6.0,25.0,6.0,58.0,16.619999999999997
ja marr chase,WR,7.2,88.32000000000002,28.86,6.5,148.0,403.0,2024,28.86,6.5,20.0,7.0,29.0,48.0,65.0,26.43
justin jefferson,WR,8.0,29.799999999999983,28.709999999999997,5.69,101.0,317.48,2024,28.709999999999997,5.69,62.0,8.0,30.0,69.0,102.0,46.529999999999994
jahmyr gibbs,RB,9.4,67.60000000000002,27.04,7.040000000000001,253.0,364.90000000000003,2024,27.04,7.040000000000001,34.0,9.0,36.0,40.0,36.0,27.58
jonathan taylor,RB,9.8,-20.099999999999994,21.75,9.71,192.0,246.7,2024,21.75,9.71,98.0,10.0,77.0,22.0,50.0,55.3
a j brown,WR,10.9,119.20000000000002,31.020000000000003,4.9,158.0,216.9,2024,31.020000000000003,4.9,7.0,11.0,16.0,73.0,62.0,22.689999999999998
saquon barkley,RB,11.3,48.70000000000002,26.570000000000004,6.470000000000001,307.0,351.3,2024,26.570000000000004,6.470000000000001,45.0,12.0,39.0,49.0,19.0,30.400000000000002
garrett wilson,WR,12.1,42.79999999999998,17.880000000000003,5.7,172.0,253.9,2024,17.880000000000003,5.7,50.0,13.0,107.0,68.0,55.0,51.169999999999995
puka nacua,WR,15.2,124.1,30.580000000000002,6.66,172.0,206.6,2024,30.580000000000002,6.66,6.0,14.0,20.0,46.0,55.0,21.07
kyren williams,RB,15.9,80.5,29.89,9.08,276.0,278.1,2024,29.89,9.08,24.0,15.0,22.0,26.0,27.0,21.53
derrick henry,RB,15.9,74.16000000000003,24.028000000000002,3.7200000000000006,316.0,338.40000000000003,2024,24.028000000000002,3.7200000000000006,27.0,15.0,56.0,98.0,18.0,32.24
travis etienne,RB,17.6,101.89999999999998,24.66,6.32,340.0,132.2,2024,24.66,6.32,12.0,17.0,50.0,56.0,11.0,23.27
cooper kupp,WR,18.9,-12.0,25.46,4.81,96.0,175.0,2024,25.46,4.81,95.0,18.0,44.0,76.0,105.0,62.89
isiah pacheco,RB,19.8,39.400000000000006,25.57,7.09,254.0,56.900000000000006,2024,25.57,7.09,53.0,19.0,41.0,39.0,34.0,36.809999999999995
davante adams,WR,20.0,91.00000000000003,29.500000000000007,3.7800000000000002,175.0,239.29999999999998,2024,29.500000000000007,3.7800000000000002,18.0,20.0,24.0,97.0,54.0,30.61
de von achane,RB,21.4,16.19999999999999,27.0,1.9,140.0,299.9,2024,27.0,1.9,77.0,21.0,37.0,121.0,69.0,54.88
drake london,WR,21.5,-2.0200000000000102,20.1,3.1,110.0,280.8,2024,20.1,3.1,88.0,22.0,90.0,106.0,90.0,70.12
deebo samuel,WR,23.0,69.29999999999998,30.439999999999998,2.74,126.0,155.60000000000002,2024,30.439999999999998,2.74,32.0,23.0,21.0,112.0,79.0,39.97
josh jacobs,RB,23.6,6.599999999999994,22.36,6.28,287.0,299.1,2024,22.36,6.28,80.0,24.0,69.0,57.0,24.0,51.21
travis kelce,TE,24.4,73.88,22.18,5.880000000000001,121.0,197.4,2024,22.18,5.880000000000001,28.0,25.0,71.0,63.0,83.0,45.540000000000006
josh allen,QB,25.1,136.09999999999997,37.300000000000004,17.268,452.64,437.04,2024,37.300000000000004,17.268,5.0,26.0,4.0,1.0,1.0,10.240000000000002
chris olave,WR,26.2,54.900000000000006,20.25,7.3999999999999995,138.0,78.7,2024,20.25,7.3999999999999995,39.0,27.0,89.0,36.0,72.0,49.13999999999999
rachaad white,RB,29.0,95.39999999999998,21.66,8.280000000000001,342.0,205.6,2024,21.66,8.280000000000001,16.0,28.0,78.0,32.0,9.0,30.83
jaylen waddle,WR,29.1,24.19999999999999,23.390000000000008,8.46,107.0,145.6,2024,23.390000000000008,8.46,67.0,29.0,61.0,29.0,95.0,56.06
sam laporta,TE,29.4,87.78,24.880000000000003,4.8,121.0,174.6,2024,24.880000000000003,4.8,21.0,30.0,46.0,77.0,83.0,41.42
james cook,RB,30.3,60.20000000000002,21.980000000000004,6.36,291.0,266.7,2024,21.980000000000004,6.36,35.0,31.0,73.0,52.0,22.0,39.879999999999995
patrick mahomes,QB,30.8,23.680000000000007,28.440000000000005,15.110000000000001,340.22,335.02,2024,28.440000000000005,15.110000000000001,70.0,32.0,32.0,2.0,10.0,38.0
nico collins,WR,32.1,83.99999999999997,34.34,6.000000000000001,110.0,210.60000000000002,2024,34.34,6.000000000000001,23.0,33.0,8.0,62.0,90.0,36.08
alvin kamara,RB,32.3,50.5,27.24,9.0,266.0,265.3,2024,27.24,9.0,43.0,34.0,35.0,27.0,32.0,36.09
mike evans,WR,33.5,108.1,28.200000000000003,6.28,136.0,240.4,2024,28.200000000000003,6.28,11.0,35.0,33.0,57.0,73.0,34.68000000000001
joe mixon,RB,35.0,88.5,22.78,8.36,321.0,240.5,2024,22.78,8.36,19.0,36.0,66.0,31.0,14.0,32.65
kenneth walker,RB,35.6,22.900000000000006,20.000000000000004,4.260000000000001,256.0,181.20000000000002,2024,20.000000000000004,4.260000000000001,72.0,37.0,92.0,84.0,33.0,60.089999999999996
jalen hurts,QB,37.3,96.27999999999997,32.87200000000001,14.252,412.82,361.12,2024,32.87200000000001,14.252,15.0,38.0,12.0,7.0,3.0,19.0
devonta smith,WR,38.3,55.19999999999999,23.35,6.4,112.0,199.4,2024,23.35,6.4,38.0,39.0,63.0,51.0,87.0,51.059999999999995
dk metcalf,WR,40.7,51.0,18.8,6.1,119.0,195.2,2024,18.8,6.1,42.0,40.0,101.0,60.0,85.0,59.730000000000004
mark andrews,TE,41.2,-12.120000000000005,22.57,6.19,62.0,188.8,2024,22.57,6.19,96.0,41.0,67.0,59.0,123.0,75.74
stefon diggs,WR,41.8,99.4,26.14,6.58,161.0,121.92,2024,26.14,6.58,13.0,42.0,40.0,47.0,61.0,36.14
dj moore,WR,43.7,114.1,28.62,6.36,140.0,238.10000000000002,2024,28.62,6.36,8.0,43.0,31.0,52.0,69.0,34.870000000000005
lamar jackson,QB,44.2,72.68,38.760000000000005,12.71,389.22,520.38,2024,38.760000000000005,12.71,31.0,44.0,2.0,10.0,4.0,24.16
michael pittman,WR,45.2,73.80000000000001,22.200000000000003,9.5,156.0,167.8,2024,22.200000000000003,9.5,29.0,45.0,70.0,24.0,63.0,45.92999999999999
aaron jones,RB,46.0,-39.599999999999994,19.900000000000002,2.7,185.0,247.60000000000002,2024,19.900000000000002,2.7,108.0,46.0,95.0,114.0,51.0,78.93
james conner,RB,47.6,25.0,25.540000000000003,6.720000000000001,241.0,251.8,2024,25.540000000000003,6.720000000000001,65.0,47.0,42.0,45.0,40.0,50.31
brandon aiyuk,WR,48.1,76.79999999999998,25.5,7.0,105.0,62.400000000000006,2024,25.5,7.0,25.0,48.0,43.0,41.0,97.0,47.059999999999995
amari cooper,WR,49.2,52.599999999999994,24.78,3.8400000000000003,128.0,122.7,2024,24.78,3.8400000000000003,41.0,49.0,47.0,96.0,76.0,53.58
c j stroud,QB,49.9,11.479999999999961,31.9,12.768,328.02,268.38,2024,31.9,12.768,79.0,50.0,15.0,9.0,13.0,43.98000000000001
trey mcbride,TE,50.4,33.97999999999999,21.82,2.8200000000000003,106.0,243.8,2024,21.82,2.8200000000000003,57.0,51.0,76.0,110.0,96.0,68.18
tee higgins,WR,51.8,-36.80000000000001,24.71,3.0000000000000004,76.0,224.10000000000002,2024,24.71,3.0000000000000004,107.0,52.0,49.0,108.0,122.0,82.38
david montgomery,RB,54.6,30.700000000000017,19.970000000000002,10.06,243.0,225.72,2024,19.970000000000002,10.06,60.0,53.0,93.0,21.0,39.0,57.96
anthony richardson,QB,55.2,-239.86,28.996000000000002,8.416,76.68,183.36,2024,28.996000000000002,8.416,132.0,54.0,27.0,30.0,121.0,80.91
christian kirk,WR,55.6,-20.140000000000015,20.540000000000003,4.0200000000000005,86.0,70.9,2024,20.540000000000003,4.0200000000000005,99.0,55.0,86.0,89.0,116.0,85.31
d andre swift,RB,56.5,24.80000000000001,19.75,3.95,278.0,212.5,2024,19.75,3.95,66.0,56.0,96.0,93.0,26.0,64.29
zay flowers,WR,56.8,30.0,20.9,4.5,116.0,209.5,2024,20.9,4.5,61.0,57.0,82.0,82.0,86.0,68.8
tank dell,WR,57.5,-9.400000000000006,28.97,5.88,86.0,140.0,2024,28.97,5.88,92.0,58.0,28.0,64.0,116.0,71.91999999999999
dalton kincaid,TE,59.1,4.780000000000001,16.8,2.0,91.0,100.8,2024,16.8,2.0,83.0,59.0,114.0,120.0,109.0,87.86999999999999
joe burrow,QB,59.7,-137.38000000000002,29.804,6.348,179.16,468.82,2024,29.804,6.348,127.0,60.0,23.0,54.0,52.0,71.82
george pickens,WR,59.8,34.400000000000006,24.260000000000005,4.0600000000000005,109.0,166.4,2024,24.260000000000005,4.0600000000000005,56.0,61.0,52.0,87.0,93.0,64.5
rhamondre stevenson,RB,62.0,-28.799999999999983,21.330000000000002,5.010000000000001,207.0,177.9,2024,21.330000000000002,5.010000000000001,104.0,62.0,79.0,72.0,47.0,76.11
keenan allen,WR,63.5,108.46000000000001,38.620000000000005,11.08,152.0,184.4,2024,38.620000000000005,11.08,10.0,63.0,3.0,18.0,64.0,33.3
raheem mostert,RB,64.1,93.19999999999999,30.8,8.62,241.0,74.9,2024,30.8,8.62,17.0,64.0,18.0,28.0,40.0,35.5
rashee rice,WR,64.2,40.099999999999994,22.15,7.199999999999999,103.0,64.9,2024,22.15,7.199999999999999,52.0,65.0,72.0,38.0,99.0,65.57
nick chubb,RB,65.0,-153.4,15.670000000000003,7.430000000000001,32.0,65.3,2024,15.670000000000003,7.430000000000001,129.0,66.0,119.0,34.0,130.0,101.8
jayden reed,WR,65.1,40.80000000000001,20.1,6.1,105.0,199.0,2024,20.1,6.1,51.0,67.0,90.0,60.0,97.0,70.35
george kittle,TE,66.7,55.68000000000001,23.4,3.4000000000000004,91.0,236.60000000000002,2024,23.4,3.4000000000000004,37.0,68.0,60.0,102.0,109.0,65.78999999999999
najee harris,RB,67.1,21.0,20.840000000000003,4.84,293.0,204.6,2024,20.840000000000003,4.84,75.0,69.0,83.0,75.0,21.0,66.54
zamir white,RB,67.8,-100.6,15.380000000000003,0.10000000000000009,123.0,33.300000000000004,2024,15.380000000000003,0.10000000000000009,122.0,70.0,120.0,129.0,80.0,100.23
chris godwin,WR,68.4,32.79999999999998,18.44,6.98,134.0,137.8,2024,18.44,6.98,59.0,71.0,103.0,42.0,74.0,71.58
dak prescott,QB,69.8,98.30000000000001,36.932,6.320000000000001,414.84000000000003,140.51999999999998,2024,36.932,6.320000000000001,14.0,72.0,5.0,55.0,2.0,30.849999999999998
terry mclaurin,WR,70.2,28.80000000000001,16.880000000000003,6.420000000000001,132.0,269.8,2024,16.880000000000003,6.420000000000001,64.0,73.0,113.0,50.0,75.0,76.19
kyle pitts,TE,72.8,-10.219999999999999,14.46,3.86,91.0,131.2,2024,14.46,3.86,93.0,74.0,121.0,95.0,109.0,94.88
jordan love,QB,73.2,68.51999999999998,30.856,14.66,385.06,277.86,2024,30.856,14.66,33.0,75.0,17.0,5.0,5.0,36.56
zack moss,RB,74.4,-8.900000000000006,21.96,2.72,220.0,83.9,2024,21.96,2.72,91.0,76.0,74.0,113.0,44.0,77.92999999999999
calvin ridley,WR,74.7,53.5,24.78,4.720000000000001,145.0,201.20000000000002,2024,24.78,4.720000000000001,40.0,77.0,47.0,78.0,67.0,59.06999999999999
kyler murray,QB,76.1,-152.18,25.384,14.878,164.36,345.24,2024,25.384,14.878,128.0,78.0,45.0,4.0,59.0,79.02999999999999
javonte williams,RB,77.5,0.6999999999999886,19.65,4.6,275.0,161.9,2024,19.65,4.6,84.0,79.0,98.0,81.0,28.0,76.41
evan engram,TE,79.5,86.78,23.48,6.800000000000001,143.0,89.5,2024,23.48,6.800000000000001,22.0,80.0,58.0,44.0,68.0,54.31999999999999
jaylen warren,RB,79.6,23.900000000000006,19.32,7.4,223.0,126.10000000000001,2024,19.32,7.4,69.0,81.0,100.0,35.0,42.0,71.75
tony pollard,RB,81.7,46.099999999999994,19.68,5.74,319.0,202.70000000000002,2024,19.68,5.74,48.0,82.0,97.0,65.0,15.0,63.260000000000005
marquise brown,WR,82.2,-39.69999999999999,17.0,3.3200000000000003,103.0,18.1,2024,17.0,3.3200000000000003,109.0,83.0,112.0,104.0,99.0,99.88999999999999
