season,name,position,team,adp,nn
2021,Tim Boyle,QB,,278.0,tim boyle
2021,Josh Imatorbhebhe,WR,,278.1,josh imatorbhebhe
2021,Malik Taylor,WR,,280.0,malik taylor
2021,Cody Kessler,QB,,280.0,cody kessler
2021,Alfred Morris,RB,,281.0,alfred morris
2021,Todd Gurley,RB,,282.0,todd gurley
2021,Paxton Lynch,QB,,282.2,paxton lynch
2021,Drew Stanton,QB,,283.3,drew stanton
2021,Jamie Newman,QB,,285.0,jamie newman
2021,Jake Luton,QB,,286.0,jake luton
2021,Reid Sinnett,QB,,287.0,reid sinnett
2021,Jon'Vea Johnson,WR,,287.0,jon vea johnson
2021,Tommy Armstrong Jr.,QB,,291.0,tommy armstrong
2021,Xavier Ubosi,WR,,292.8,xavier ubosi
2021,Nick Fitzgerald,QB,,293.5,nick fitzgerald
2021,Jordan Thomas,TE,,294.0,jordan thomas
2021,Kevin Davidson,QB,,294.0,kevin davidson
2021,Charles Clay,TE,,295.1,charles clay
2021,Bryce Perkins,QB,,295.8,bryce perkins
2021,Lamar Jordan,QB,,296.0,lamar jordan
2021,Blake Bell,TE,,297.2,blake bell
2021,Vance McDonald,TE,,298.7,vance mcdonald
2022,Jonathan Taylor,RB,IND,1.5,jonathan taylor
2022,Christian McCaffrey,RB,SF,2.6,christian mccaffrey
2022,Derrick Henry,RB,BAL,3.9,derrick henry
2022,Austin Ekeler,RB,,4.4,austin ekeler
2022,Cooper Kupp,WR,SEA,5.5,cooper kupp
2022,Justin Jefferson,WR,MIN,6.4,justin jefferson
2022,Dalvin Cook,RB,,7.0,dalvin cook
2022,Najee Harris,RB,,8.6,najee harris
2022,Ja'Marr Chase,WR,CIN,9.9,ja marr chase
2022,Joe Mixon,RB,,10.1,joe mixon
2022,Davante Adams,WR,LAR,11.4,davante adams
2022,Stefon Diggs,WR,,12.5,stefon diggs
2022,D'Andre Swift,RB,CHI,13.4,d andre swift
2022,Travis Kelce,TE,KC,13.6,travis kelce
2022,Alvin Kamara,RB,NO,15.7,alvin kamara
2022,Nick Chubb,RB,,16.7,nick chubb
2022,Aaron Jones,RB,MIN,17.5,aaron jones
2022,Saquon Barkley,RB,PHI,18.6,saquon barkley
2022,CeeDee Lamb,WR,DAL,19.5,ceedee lamb
2022,Tyreek Hill,WR,,20.4,tyreek hill
2022,Deebo Samuel,WR,SF,20.7,deebo samuel
2022,Josh Allen,QB,BUF,22.0,josh allen
2022,Javonte Williams,RB,DAL,23.2,javonte williams
2022,Mark Andrews,TE,BAL,24.7,mark andrews
2022,Leonard Fournette,RB,,25.7,leonard fournette
2022,Mike Evans,WR,SF,26.6,mike evans
2022,Keenan Allen,WR,,27.1,keenan allen
2022,A.J. Brown,WR,NE,27.9,a j brown
