slot,round,QB_pct,RB_pct,WR_pct,TE_pct,K_pct,n_sims
8,10,8.0,53.0,39.0,0.0,0.0,100
8,11,5.0,12.0,83.0,0.0,0.0,100
8,12,0.0,48.0,52.0,0.0,0.0,100
8,13,0.0,33.0,67.0,0.0,0.0,100
8,14,0.0,69.0,31.0,0.0,0.0,100
8,15,0.0,49.0,42.0,9.0,0.0,100
8,16,0.0,0.0,0.0,0.0,100.0,100
9,1,0.0,30.0,70.0,0.0,0.0,100
9,2,14.0,9.0,24.0,53.0,0.0,100
9,3,0.0,80.0,20.0,0.0,0.0,100
9,4,0.0,51.0,49.0,0.0,0.0,100
9,5,0.0,63.0,37.0,0.0,0.0,100
9,6,7.0,53.0,0.0,40.0,0.0,100
9,7,0.0,14.0,79.0,7.0,0.0,100
9,8,63.0,27.0,10.0,0.0,0.0,100
9,9,6.0,74.0,20.0,0.0,0.0,100
9,10,9.0,57.0,34.0,0.0,0.0,100
9,11,1.0,9.0,90.0,0.0,0.0,100
9,12,0.0,50.0,50.0,0.0,0.0,100
9,13,0.0,31.0,69.0,0.0,0.0,100
9,14,0.0,62.0,38.0,0.0,0.0,100
9,15,0.0,58.0,36.0,6.0,0.0,100
9,16,0.0,0.0,0.0,0.0,100.0,100
10,1,0.0,11.0,89.0,0.0,0.0,100
10,2,7.0,9.0,25.0,59.0,0.0,100
10,3,0.0,85.0,15.0,0.0,0.0,100
10,4,0.0,53.0,47.0,0.0,0.0,100
10,5,0.0,76.0,24.0,0.0,0.0,100
10,6,7.0,58.0,0.0,35.0,0.0,100
10,7,0.0,16.0,78.0,6.0,0.0,100
10,8,63.0,19.0,18.0,0.0,0.0,100
10,9,12.0,71.0,17.0,0.0,0.0,100
10,10,11.0,54.0,35.0,0.0,0.0,100
10,11,0.0,4.0,96.0,0.0,0.0,100
10,12,0.0,39.0,61.0,0.0,0.0,100
10,13,0.0,44.0,56.0,0.0,0.0,100
10,14,0.0,55.0,45.0,0.0,0.0,100
10,15,0.0,65.0,32.0,3.0,0.0,100
10,16,0.0,0.0,0.0,0.0,100.0,100
11,1,0.0,4.0,96.0,0.0,0.0,100
11,2,1.0,33.0,9.0,57.0,0.0,100
11,3,0.0,82.0,18.0,0.0,0.0,100
11,4,0.0,47.0,53.0,0.0,0.0,100
11,5,0.0,76.0,24.0,0.0,0.0,100
11,6,2.0,55.0,0.0,43.0,0.0,100
11,7,0.0,17.0,83.0,0.0,0.0,100
11,8,69.0,11.0,20.0,0.0,0.0,100
11,9,15.0,66.0,19.0,0.0,0.0,100
11,10,10.0,64.0,26.0,0.0,0.0,100
11,11,3.0,7.0,90.0,0.0,0.0,100
11,12,0.0,37.0,63.0,0.0,0.0,100
11,13,0.0,38.0,62.0,0.0,0.0,100
11,14,0.0,59.0,41.0,0.0,0.0,100
11,15,0.0,58.0,41.0,1.0,0.0,100
11,16,0.0,0.0,0.0,0.0,100.0,100
12,1,0.0,5.0,95.0,0.0,0.0,100
12,2,0.0,52.0,0.0,48.0,0.0,100
12,3,0.0,69.0,31.0,0.0,0.0,100
12,4,0.0,36.0,64.0,0.0,0.0,100
12,5,0.0,90.0,10.0,0.0,0.0,100
12,6,5.0,43.0,0.0,52.0,0.0,100
12,7,0.0,19.0,81.0,0.0,0.0,100
12,8,72.0,10.0,18.0,0.0,0.0,100
12,9,16.0,62.0,22.0,0.0,0.0,100
12,10,7.0,71.0,22.0,0.0,0.0,100
12,11,0.0,10.0,90.0,0.0,0.0,100
12,12,0.0,48.0,52.0,0.0,0.0,100
12,13,0.0,31.0,69.0,0.0,0.0,100
12,14,0.0,64.0,36.0,0.0,0.0,100
12,15,0.0,54.0,41.0,5.0,0.0,100
12,16,0.0,0.0,0.0,0.0,100.0,100
