name,position,team,adp,high,low,stdev,times_drafted,bye
Kyle Monangai,RB,CHI,97.9,65,142,12.4,502,10
Denver Defense,DEF,DEN,98.2,78,116,7.7,151,10
Makai Lemon,WR,PHI,98.4,70,122,10.9,379,10
Caleb Williams,QB,CHI,99.5,61,137,14.8,542,10
Quentin Johnston,WR,LAC,100.3,72,125,10.6,413,7
Jared Goff,QB,DET,102.4,68,129,14.5,280,6
Ricky Pearsall,WR,SF,103.0,81,121,8.1,426,8
Tucker Kraft,TE,GB,103.6,44,168,27.6,448,11
Rachaad White,RB,WAS,103.7,71,143,12.4,321,7
Patrick Mahomes,QB,KC,104.1,68,130,13.8,416,5
Xavier Worthy,WR,KC,104.9,87,120,6.7,208,5
Romeo Doubs,WR,NE,105.5,90,121,7.6,89,11
Khalil Shakir,WR,BUF,105.5,80,126,9.6,119,7
Houston Defense,DEF,HOU,106.9,83,127,8.8,303,8
George Kittle,TE,SF,107.4,58,157,18.8,342,8
Jaxson Dart,QB,NYG,111.2,72,148,15.0,269,8
MarShawn Lloyd,RB,GB,113.4,106,119,6.4,7,11
John Metchie III,WR,CAR,116.1,109,124,4.0,14,5
Blake Corum,RB,LAR,116.7,78,148,14.7,687,11
Matthew Golden,WR,GB,118.9,96,146,8.7,328,11
Jacory Croskey-Merritt,RB,WAS,119.1,77,150,16.2,295,7
Bo Nix,QB,DEN,119.8,91,139,10.9,260,10
Jordan Mason,RB,MIN,119.9,85,152,13.3,487,6
Dallas Goedert,TE,PHI,120.7,69,152,19.7,187,10
Tyjae Spears,RB,TEN,121.8,85,146,13.8,100,9
Jonathon Brooks,RB,CAR,123.7,81,155,16.1,746,5
LA Rams Defense,DEF,LAR,123.9,74,180,21.6,453,11
KC Concepcion,WR,CLE,124.3,98,150,10.0,273,11
Rashid Shaheed,WR,SEA,124.5,100,148,9.8,230,11
Jalen Coker,WR,CAR,127.3,106,147,8.0,146,5
Jake Ferguson,TE,DAL,127.9,76,179,21.4,309,14
Jayden Higgins,WR,HOU,129.8,97,153,12.9,156,8
Jacksonville Defense,DEF,JAX,130.2,104,180,18.5,72,7
Brandon Aubrey,PK,DAL,130.5,68,184,23.7,864,14
Baker Mayfield,QB,TB,130.5,102,149,10.9,143,10
New England Defense,DEF,NE,134.0,78,180,21.3,134,11
Jaydon Blue,RB,DAL,134.1,1,195,56.2,8,14
Detroit Defense,DEF,DET,135.1,107,179,17.3,101,6
Minnesota Defense,DEF,MIN,135.2,109,179,14.9,102,6
Tre Tucker,WR,LV,135.5,110,150,9.5,63,13
Mark Andrews,TE,BAL,135.9,90,173,17.5,225,13
Philadelphia Defense,DEF,PHI,136.5,97,179,15.5,168,10
Jalen McMillan,WR,TB,136.8,106,157,11.7,69,10
Theo Wease Jr.,WR,MIA,138.6,130,149,5.3,22,6
Jordan Love,QB,GB,138.8,109,168,12.2,156,11
Tyler Shough,QB,NO,139.0,111,164,10.7,176,8
Kyler Murray,QB,MIN,139.8,98,178,15.7,220,6
Jauan Jennings,WR,MIN,140.3,112,165,10.8,76,6
Isaiah Likely,TE,NYG,141.2,92,179,18.9,470,8
Jason Myers,PK,SEA,141.4,97,161,17.8,83,11
Tre' Harris,WR,LAC,141.7,93,201,44.5,6,7
Dalton Kincaid,TE,BUF,141.9,89,180,20.5,218,7
Calvin Ridley,WR,TEN,142.9,110,175,16.9,84,9
Woody Marks,RB,HOU,142.9,99,180,16.7,139,8
Jerry Jeudy,WR,CLE,143.4,108,177,14.6,158,11
Isiah Pacheco,RB,DET,144.9,95,179,18.9,174,6
Zach Charbonnet,RB,SEA,145.8,83,207,23.9,183,11
Denzel Boston,WR,CLE,145.8,127,177,12.8,40,11
Mike Washington Jr.,RB,LV,145.9,91,208,43.1,8,13
Cameron Dicker,PK,LAC,145.9,102,186,16.6,95,7
Ka'imi Fairbairn,PK,HOU,146.1,103,187,20.1,61,8
Hunter Henry,TE,NE,148.7,85,188,24.4,41,11
Alvin Kamara,RB,NO,148.8,90,196,22.5,173,8
Green Bay Defense,DEF,GB,148.8,146,154,3.1,5,11
Brenton Strange,TE,JAX,148.9,104,199,18.7,78,7
Sam Darnold,QB,SEA,149.1,101,180,18.3,110,11
Jake Bates,PK,DET,150.0,111,197,18.7,90,6
Rashod Bateman,WR,BAL,151.3,117,175,14.1,28,13
San Francisco Defense,DEF,SF,151.4,125,174,14.0,15,8
Harrison Mevis,PK,LAR,151.4,113,172,14.5,69,11
Adonai Mitchell,WR,NYJ,151.5,119,178,16.1,18,13
Chris Rodriguez Jr.,RB,JAX,151.5,112,210,20.5,67,7
LA Chargers Defense,DEF,LAC,152.0,104,182,18.1,221,7
Omar Cooper Jr.,WR,NYJ,152.4,99,180,20.5,62,13
Pittsburgh Defense,DEF,PIT,152.5,108,194,17.0,244,9
Dallas Defense,DEF,DAL,153.0,81,201,30.1,25,14
C.J. Stroud,QB,HOU,153.1,124,180,12.6,84,8
Jalen Nailor,WR,LV,155.0,124,179,12.8,107,13
Antonio Williams,WR,WAS,155.2,129,179,10.1,64,7
Malik Washington,WR,MIA,155.5,118,179,14.7,47,6
Brian Robinson Jr.,RB,ATL,155.6,122,174,15.3,27,11
Cairo Santos,PK,CHI,155.9,108,190,18.4,27,10
Cam Little,PK,JAX,157.3,104,210,20.4,150,7
Tyrone Tracy Jr.,RB,NYG,157.4,112,180,17.1,139,8
