nn,name,position,pos_adp_rank,team_2025,share_2025,workload_2025,weeks_2025,ppg_2025,nfl_pick
sean tucker,Sean Tucker,RB,101.0,TB,0.2161,86.0,17.0,5.38,
grant calcaterra,Grant Calcaterra,TE,63.0,PHI,0.125,13.0,9.0,2.51,198.0
tanner hudson,Tanner Hudson,TE,64.0,CIN,0.186,24.0,10.0,4.78,
ashton dulin,Ashton Dulin,WR,107.0,IND,0.0321,10.0,12.0,1.67,
cam grandy,Cam Grandy,TE,65.0,CIN,0.0155,2.0,2.0,1.35,
chris brazzell,Chris Brazzell,WR,167.0,,,,,,83.0
erick all,Erick All,TE,66.0,,,,,,
drew sample,Drew Sample,TE,67.0,CIN,0.155,20.0,12.0,2.66,52.0
josh cuevas,Josh Cuevas,TE,68.0,,,,,,173.0
jordan whittington,Jordan Whittington,WR,79.0,LA,0.0681,25.0,15.0,2.42,213.0
jaheim bell,Jaheim Bell,TE,69.0,,,,,,
cj daniels,CJ Daniels,WR,108.0,,,,,,197.0
adam randall,Adam Randall,RB,102.0,,,,,,174.0
jared wiley,Jared Wiley,TE,70.0,KC,0.0068,1.0,2.0,0.7,131.0
frank gore,Frank Gore,RB,64.0,,,,,,
isaiah davis,Isaiah Davis,RB,88.0,NYJ,0.1291,43.0,16.0,4.45,173.0
devin culp,Devin Culp,TE,71.0,TB,0.0116,1.0,4.0,1.9,246.0
nate adkins,Nate Adkins,TE,72.0,DEN,0.0965,11.0,6.0,2.8,
charlie woerner,Charlie Woerner,TE,73.0,ATL,0.0709,9.0,7.0,1.83,190.0
donovan edwards,Donovan Edwards,RB,65.0,,,,,,
tanner conner,Tanner Conner,TE,74.0,MIA,0.1471,15.0,8.0,2.26,
cyrus allen,Cyrus Allen,WR,109.0,,,,,,176.0
savion williams,Savion Williams,WR,168.0,GB,0.0369,10.0,12.0,2.13,87.0
foster moreau,Foster Moreau,TE,75.0,NO,0.0704,10.0,7.0,1.84,137.0
phil mafah,Phil Mafah,RB,66.0,DAL,0.0131,5.0,1.0,10.9,239.0
dyami brown,Dyami Brown,WR,169.0,JAX,0.116,37.0,11.0,4.52,82.0
mack hollins,Mack Hollins,WR,80.0,NE,0.2297,65.0,14.0,8.1,118.0
elijah higgins,Elijah Higgins,TE,76.0,ARI,0.1697,37.0,17.0,3.42,197.0
demarcus robinson,Demarcus Robinson,WR,110.0,SF,0.14,35.0,14.0,4.16,126.0
dont e thornton,Dont'e Thornton,WR,111.0,LV,0.124,30.0,11.0,2.14,108.0
joe milton,Joe Milton,QB,44.0,DAL,0.0862,5.0,4.0,2.58,193.0
devin neal,Devin Neal,RB,67.0,NO,0.19,57.0,9.0,6.67,184.0
lequint allen,LeQuint Allen,RB,111.0,JAX,0.0617,23.0,16.0,1.55,236.0
quinn ewers,Quinn Ewers,QB,33.0,MIA,0.2581,8.0,4.0,8.29,231.0
charlie kolar,Charlie Kolar,TE,77.0,BAL,0.122,15.0,13.0,2.78,128.0
will mallory,Will Mallory,TE,78.0,IND,0.0072,1.0,1.0,2.6,162.0
max klare,Max Klare,TE,104.0,,,,,,61.0
ty chandler,Ty Chandler,RB,68.0,MIN,0.0493,17.0,3.0,2.93,169.0
shedeur sanders,Shedeur Sanders,QB,28.0,CLE,0.5122,21.0,8.0,10.61,144.0
reggie virgil,Reggie Virgil,WR,112.0,,,,,,143.0
riley leonard,Riley Leonard,QB,45.0,IND,0.1053,6.0,5.0,6.2,189.0
will howard,Will Howard,QB,34.0,,,,,,
treylon burks,Treylon Burks,WR,113.0,WAS,0.0806,22.0,8.0,3.62,18.0
greg dortch,Greg Dortch,WR,114.0,ARI,0.12,33.0,12.0,6.26,
jelani woods,Jelani Woods,TE,79.0,NYJ,0.0283,3.0,2.0,0.7,73.0
tyson bagent,Tyson Bagent,QB,35.0,CHI,0.0253,2.0,2.0,1.29,
josh whyle,Josh Whyle,TE,80.0,GB,0.0612,6.0,6.0,2.43,147.0
payne durham,Payne Durham,TE,81.0,TB,0.0465,4.0,8.0,0.26,171.0
jerome ford,Jerome Ford,RB,69.0,CLE,0.068,24.0,13.0,3.35,156.0
trevor etienne,Trevor Etienne,RB,89.0,CAR,0.0512,20.0,17.0,0.81,114.0
isaiah williams,Isaiah Williams,WR,115.0,NYJ,0.1328,36.0,15.0,4.05,
colbie young,Colbie Young,WR,116.0,,,,,,140.0
cade klubnik,Cade Klubnik,QB,36.0,,,,,,110.0
kaden wetjen,Kaden Wetjen,WR,117.0,,,,,,121.0
mitchell evans,Mitchell Evans,TE,82.0,CAR,0.2525,25.0,14.0,3.44,163.0
teddy bridgewater,Teddy Bridgewater,QB,37.0,TB,0.0517,3.0,3.0,0.96,32.0
brock wright,Brock Wright,TE,34.0,DET,0.2391,22.0,8.0,4.6,
elijah mitchell,Elijah Mitchell,RB,70.0,KC,0.0,0.0,1.0,0.0,194.0
george holani,George Holani,RB,103.0,SEA,0.0506,22.0,10.0,2.08,
connor heyward,Connor Heyward,TE,,,,,,,
tommy devito,Tommy DeVito,QB,38.0,,,,,,
ian thomas,Ian Thomas,TE,83.0,LV,0.0833,13.0,9.0,2.71,101.0
tanner mckee,Tanner McKee,QB,46.0,PHI,0.0708,8.0,4.0,3.44,188.0
demond claiborne,Demond Claiborne,RB,104.0,,,,,,198.0
barion brown,Barion Brown,WR,118.0,,,,,,190.0
ollie gordon,Ollie Gordon,RB,105.0,MIA,0.1852,70.0,17.0,3.18,179.0
adam trautman,Adam Trautman,TE,84.0,DEN,0.2018,23.0,13.0,3.5,105.0
kyle williams,Kyle Williams,WR,81.0,NE,0.0742,21.0,14.0,3.51,69.0
josh cameron,Josh Cameron,WR,119.0,,,,,,191.0
seth mcgowan,Seth McGowan,RB,106.0,,,,,,237.0
michael penix,Michael Penix,QB,47.0,ATL,0.6,21.0,9.0,13.36,8.0
devin duvernay,Devin Duvernay,WR,120.0,CHI,0.0159,5.0,17.0,0.27,92.0
audric estime,Audric Estime,RB,71.0,,,,,,
marshawn lloyd,MarShawn Lloyd,RB,112.0,,,,,,
deshaun watson,Deshaun Watson,QB,77.0,,,,,,
dj giddens,DJ Giddens,RB,107.0,IND,0.0697,26.0,5.0,1.92,151.0
hunter long,Hunter Long,TE,85.0,JAX,0.1619,17.0,7.0,4.64,81.0
devin singletary,Devin Singletary,RB,90.0,NYG,0.3005,119.0,17.0,6.4,74.0
jarrett stidham,Jarrett Stidham,QB,48.0,DEN,0.0119,1.0,1.0,-0.1,133.0
isaiah bond,Isaiah Bond,WR,121.0,CLE,0.1897,44.0,15.0,3.65,
luke schoonmaker,Luke Schoonmaker,TE,35.0,DAL,0.1667,23.0,14.0,1.94,58.0
blake whiteheart,Blake Whiteheart,TE,86.0,CLE,0.0355,6.0,9.0,0.27,
xavier smith,Xavier Smith,WR,122.0,LA,0.0654,24.0,16.0,3.02,
behren morton,Behren Morton,QB,49.0,,,,,,234.0
jake browning,Jake Browning,QB,50.0,CIN,0.2368,9.0,5.0,9.75,
jalen milroe,Jalen Milroe,QB,51.0,SEA,0.0682,3.0,3.0,-0.53,92.0
drew allar,Drew Allar,QB,52.0,,,,,,76.0
chris collier,Chris Collier,RB,72.0,,,,,,
cole payton,Cole Payton,QB,53.0,,,,,,178.0
garrett nussmeier,Garrett Nussmeier,QB,54.0,,,,,,249.0
roschon johnson,Roschon Johnson,RB,56.0,CHI,0.005,2.0,6.0,0.28,115.0
adrian martinez,Adrian Martinez,QB,55.0,SF,0.0143,1.0,1.0,-0.1,
darius cooper,Darius Cooper,WR,123.0,PHI,0.0378,11.0,6.0,3.03,
isaac guerendo,Isaac Guerendo,RB,73.0,SF,0.0,0.0,7.0,0.0,129.0
lucas krull,Lucas Krull,TE,87.0,DEN,0.0351,4.0,2.0,1.75,
will shipley,Will Shipley,RB,91.0,PHI,0.0385,14.0,14.0,1.39,127.0
shane buechele,Shane Buechele,QB,56.0,KC,0.0132,1.0,1.0,3.92,
brady cook,Brady Cook,QB,57.0,NYJ,0.1171,13.0,5.0,5.69,
konata mumpfield,Konata Mumpfield,WR,124.0,LA,0.0627,23.0,10.0,2.52,242.0
chris oladokun,Chris Oladokun,QB,58.0,KC,0.0658,5.0,3.0,3.73,241.0
kyle allen,Kyle Allen,QB,59.0,DET,0.1364,3.0,2.0,-0.15,
kirk cousins,Kirk Cousins,QB,60.0,ATL,0.4,14.0,10.0,10.35,102.0
tez johnson,Tez Johnson,WR,125.0,TB,0.1212,44.0,15.0,6.16,235.0
j j mccarthy,J.J. McCarthy,QB,30.0,MIN,0.6727,37.0,10.0,12.54,10.0
josh johnson,Josh Johnson,QB,61.0,WAS,0.1,12.0,3.0,8.13,160.0
odell beckham,Odell Beckham,WR,66.0,,,,,,
mo alie cox,Mo Alie-Cox,TE,88.0,IND,0.1439,20.0,11.0,2.79,
durham smythe,Durham Smythe,TE,89.0,CHI,0.0441,6.0,7.0,0.93,123.0
dameon pierce,Dameon Pierce,RB,74.0,HOU,0.0251,10.0,5.0,0.72,107.0
tip reiman,Tip Reiman,TE,90.0,ARI,0.0229,5.0,3.0,1.6,82.0
michael bandy,Michael Bandy,WR,126.0,DEN,0.0114,4.0,4.0,3.75,
jackson hawes,Jackson Hawes,TE,91.0,BUF,0.157,19.0,13.0,4.05,173.0
josh williams,Josh Williams,RB,75.0,TB,0.0101,4.0,2.0,0.55,
luke farrell,Luke Farrell,TE,92.0,SF,0.1077,14.0,13.0,2.27,145.0
brevyn spann ford,Brevyn Spann-Ford,TE,93.0,DAL,0.0942,13.0,16.0,1.5,
eric saubert,Eric Saubert,TE,94.0,SEA,0.0686,7.0,9.0,1.01,174.0
drew ogletree,Drew Ogletree,TE,95.0,,,,,,
derius davis,Derius Davis,WR,127.0,LAC,0.0081,3.0,11.0,0.32,125.0
tyler conklin,Tyler Conklin,TE,96.0,LAC,0.101,10.0,6.0,2.88,157.0
devontez walker,Devontez Walker,WR,128.0,BAL,0.0379,8.0,8.0,4.7,113.0
quintin morris,Quintin Morris,TE,97.0,JAX,0.0857,9.0,11.0,1.59,
anthony gould,Anthony Gould,WR,129.0,IND,0.0064,2.0,11.0,0.24,142.0
anthony richardson,Anthony Richardson,QB,62.0,IND,0.0702,4.0,2.0,1.08,4.0
jack stoll,Jack Stoll,TE,98.0,NO,0.0775,11.0,9.0,1.84,
justin fields,Justin Fields,QB,39.0,NYJ,0.6396,71.0,9.0,15.85,11.0
myles price,Myles Price,WR,130.0,MIN,0.0,0.0,16.0,0.0,
chris manhertz,Chris Manhertz,TE,99.0,NYG,0.0196,2.0,4.0,0.43,
dylan laube,Dylan Laube,RB,76.0,LV,0.0228,7.0,17.0,0.34,208.0
keandre lambert smith,KeAndre Lambert-Smith,WR,131.0,LAC,0.0324,12.0,10.0,1.61,158.0
mac jones,Mac Jones,QB,63.0,SF,0.5143,36.0,11.0,11.82,15.0
jameis winston,Jameis Winston,QB,40.0,NYG,0.0631,7.0,3.0,14.43,1.0
marcus mariota,Marcus Mariota,QB,64.0,WAS,0.4167,50.0,10.0,12.55,2.0
skyy moore,Skyy Moore,WR,132.0,SF,0.028,7.0,17.0,0.87,54.0
julian hill,Julian Hill,TE,100.0,MIA,0.1961,20.0,11.0,2.82,
johnny mundt,Johnny Mundt,TE,101.0,JAX,0.181,19.0,12.0,1.68,
nikko remigio,Nikko Remigio,WR,133.0,KC,0.0032,1.0,14.0,0.3,
trey benson,Trey Benson,RB,92.0,ARI,0.0993,29.0,4.0,8.85,66.0
mason tipton,Mason Tipton,WR,134.0,NO,0.0494,17.0,8.0,2.55,
tyler badie,Tyler Badie,RB,93.0,DEN,0.0233,8.0,16.0,2.21,196.0
tahj brooks,Tahj Brooks,RB,94.0,CIN,0.0479,16.0,12.0,0.53,193.0
kaleb johnson,Kaleb Johnson,RB,95.0,PIT,0.0793,28.0,10.0,0.88,83.0
charlie jones,Charlie Jones,WR,135.0,CIN,0.0027,1.0,14.0,0.43,131.0
kameron johnson,Kameron Johnson,WR,136.0,TB,0.0193,7.0,17.0,1.04,
david moore,David Moore,WR,137.0,CAR,0.0035,1.0,3.0,0.9,226.0
joe flacco,Joe Flacco,QB,65.0,CIN,0.3947,15.0,13.0,11.28,18.0
kene nwangwu,Kene Nwangwu,RB,77.0,NYJ,0.039,13.0,10.0,1.09,119.0
gardner minshew,Gardner Minshew,QB,41.0,KC,0.0789,6.0,4.0,-0.08,178.0
malachi corley,Malachi Corley,WR,138.0,CLE,0.0603,14.0,12.0,2.63,65.0
davis mills,Davis Mills,QB,66.0,HOU,0.2131,13.0,6.0,11.43,67.0
rasheen ali,Rasheen Ali,RB,78.0,BAL,0.0179,7.0,15.0,1.61,165.0
kenny pickett,Kenny Pickett,QB,67.0,LV,0.1064,5.0,6.0,1.29,20.0
will levis,Will Levis,QB,68.0,,,,,,
bo melton,Bo Melton,WR,139.0,,,,,,
mason rudolph,Mason Rudolph,QB,69.0,PIT,0.25,7.0,5.0,3.0,76.0
spencer rattler,Spencer Rattler,QB,42.0,NO,0.4079,31.0,9.0,11.02,150.0
tai felton,Tai Felton,WR,140.0,MIN,0.0102,3.0,12.0,0.46,102.0
gage larvadain,Gage Larvadain,WR,141.0,CLE,0.0603,14.0,13.0,1.11,
tyler huntley,Tyler Huntley,QB,43.0,BAL,0.2526,24.0,5.0,8.03,
jalen brooks,Jalen Brooks,WR,142.0,ARI,0.0218,6.0,5.0,1.62,244.0
andy dalton,Andy Dalton,QB,70.0,CAR,0.0847,5.0,4.0,2.38,35.0
nick mullens,Nick Mullens,QB,71.0,JAX,0.1277,12.0,4.0,-0.01,
reggie gilliam,Reggie Gilliam,RB,79.0,BUF,0.0048,2.0,11.0,0.44,
ben skowronek,Ben Skowronek,WR,143.0,PIT,0.0258,6.0,16.0,1.06,249.0
deejay dallas,DeeJay Dallas,RB,80.0,JAX,0.0054,2.0,5.0,0.42,144.0
tyrell shavers,Tyrell Shavers,WR,144.0,BUF,0.0852,23.0,11.0,4.14,
britain covey,Britain Covey,WR,145.0,PHI,0.0137,4.0,6.0,0.67,
trey lance,Trey Lance,QB,72.0,LAC,0.17,17.0,4.0,3.38,3.0
jacob saylors,Jacob Saylors,RB,81.0,DET,0.0049,2.0,11.0,0.1,
drew lock,Drew Lock,QB,73.0,SEA,0.1364,6.0,3.0,0.03,42.0
jacob cowing,Jacob Cowing,WR,146.0,,,,,,
mitchell trubisky,Mitchell Trubisky,QB,74.0,BUF,0.0744,9.0,4.0,7.78,2.0
justin watson,Justin Watson,WR,147.0,HOU,0.0116,4.0,3.0,2.0,144.0
braxton berrios,Braxton Berrios,WR,148.0,HOU,0.0231,8.0,4.0,2.43,210.0
zavier scott,Zavier Scott,RB,82.0,MIN,0.0928,32.0,11.0,3.56,
jonathan mingo,Jonathan Mingo,WR,149.0,DAL,0.0129,5.0,5.0,0.7,39.0
tyrod taylor,Tyrod Taylor,QB,75.0,NYJ,0.2432,27.0,6.0,9.91,180.0
dareke young,Dareke Young,WR,150.0,SEA,0.0103,3.0,8.0,0.85,233.0
aidan o connell,Aidan O'Connell,QB,76.0,LV,0.0213,1.0,1.0,4.78,135.0
arian smith,Arian Smith,WR,151.0,NYJ,0.059,16.0,13.0,1.04,110.0
efton chism,Efton Chism,WR,82.0,NE,0.0106,3.0,8.0,2.06,
riley nowakowski,Riley Nowakowski,TE,,,,,,,169.0
juju smith schuster,JuJu Smith-Schuster,WR,83.0,KC,0.1442,45.0,17.0,4.32,62.0
lajohntay wester,LaJohntay Wester,WR,152.0,BAL,0.0,0.0,14.0,0.0,203.0
jimmy horn,Jimmy Horn,WR,153.0,CAR,0.0519,15.0,10.0,2.87,208.0
mason kinsey,Mason Kinsey,WR,154.0,TEN,0.0135,4.0,6.0,1.13,
brycen tremayne,Brycen Tremayne,WR,155.0,CAR,0.0623,18.0,15.0,2.0,
andrew beck,Andrew Beck,RB,96.0,,,,,,
mitch tinsley,Mitch Tinsley,WR,,,,,,,
british brooks,British Brooks,RB,83.0,HOU,0.0426,17.0,8.0,0.98,
