nn,name,position,pos_adp_rank,team_2025,share_2025,workload_2025,weeks_2025,ppg_2025,nfl_pick
rome odunze,Rome Odunze,WR,27.0,CHI,0.2857,90.0,12.0,12.17,9.0
carnell tate,Carnell Tate,WR,24.0,,,,,,4.0
tony pollard,Tony Pollard,RB,27.0,TEN,0.7378,242.0,17.0,10.93,128.0
chuba hubbard,Chuba Hubbard,RB,29.0,CAR,0.3427,134.0,15.0,8.36,126.0
tucker kraft,Tucker Kraft,TE,11.0,GB,0.449,44.0,8.0,14.65,78.0
alec pierce,Alec Pierce,WR,34.0,IND,0.2692,84.0,15.0,12.22,53.0
dak prescott,Dak Prescott,QB,9.0,DAL,0.9138,53.0,17.0,18.46,135.0
rico dowdle,Rico Dowdle,RB,30.0,CAR,0.6036,236.0,17.0,12.72,
george kittle,George Kittle,TE,8.0,SF,0.5308,69.0,11.0,14.68,146.0
jadarian price,Jadarian Price,RB,25.0,,,,,,32.0
courtland sutton,Courtland Sutton,WR,31.0,DEN,0.3533,124.0,17.0,12.92,40.0
matthew stafford,Matthew Stafford,QB,8.0,LA,0.7632,29.0,17.0,20.61,1.0
parker washington,Parker Washington,WR,38.0,JAX,0.2978,95.0,16.0,11.54,185.0
jake ferguson,Jake Ferguson,TE,12.0,DAL,0.7391,102.0,17.0,11.06,129.0
brock purdy,Brock Purdy,QB,12.0,SF,0.4714,33.0,9.0,19.71,262.0
dk metcalf,DK Metcalf,WR,30.0,PIT,0.4249,99.0,15.0,12.48,64.0
bo nix,Bo Nix,QB,13.0,DEN,0.9881,83.0,17.0,17.93,12.0
marvin harrison,Marvin Harrison,WR,29.0,ARI,0.2655,73.0,12.0,10.65,4.0
dallas goedert,Dallas Goedert,TE,10.0,PHI,0.7885,82.0,15.0,12.34,49.0
trevor lawrence,Trevor Lawrence,QB,11.0,JAX,0.8723,82.0,17.0,19.89,1.0
patrick mahomes,Patrick Mahomes,QB,14.0,KC,0.8421,64.0,14.0,20.41,10.0
michael pittman,Michael Pittman,WR,33.0,IND,0.3558,111.0,17.0,11.91,34.0
jordyn tyson,Jordyn Tyson,WR,35.0,,,,,,8.0
caleb williams,Caleb Williams,QB,10.0,CHI,0.9747,77.0,17.0,18.72,1.0
jaxson dart,Jaxson Dart,QB,7.0,NYG,0.7748,86.0,14.0,17.26,25.0
rhamondre stevenson,Rhamondre Stevenson,RB,31.0,NE,0.3504,130.0,14.0,12.77,120.0
christian watson,Christian Watson,WR,36.0,GB,0.203,55.0,10.0,13.24,34.0
kenneth gainwell,Kenny Gainwell,RB,34.0,PIT,0.3229,114.0,17.0,13.02,150.0
isaiah likely,Isaiah Likely,TE,14.0,BAL,0.2927,36.0,12.0,5.14,139.0
rj harvey,RJ Harvey,RB,36.0,DEN,0.4244,146.0,17.0,12.15,60.0
jakobi meyers,Jakobi Meyers,WR,41.0,JAX,0.1912,61.0,16.0,10.99,
wan dale robinson,Wan'Dale Robinson,WR,42.0,NYG,0.4651,140.0,16.0,13.62,43.0
dalton kincaid,Dalton Kincaid,TE,17.0,BUF,0.405,49.0,12.0,10.51,25.0
josh downs,Josh Downs,WR,49.0,IND,0.2821,88.0,16.0,8.65,79.0
jared goff,Jared Goff,QB,16.0,DET,0.8636,19.0,17.0,17.47,1.0
mark andrews,Mark Andrews,TE,13.0,BAL,0.5691,70.0,17.0,7.71,86.0
aaron jones,Aaron Jones,RB,32.0,MIN,0.3826,132.0,12.0,9.89,182.0
makai lemon,Makai Lemon,WR,39.0,,,,,,20.0
j k dobbins,J.K. Dobbins,RB,33.0,DEN,0.4448,153.0,10.0,11.59,55.0
justin herbert,Justin Herbert,QB,15.0,LAC,0.83,83.0,16.0,17.93,6.0
chris godwin,Chris Godwin,WR,47.0,TB,0.1405,51.0,9.0,9.22,84.0
brian thomas,Brian Thomas,WR,37.0,JAX,0.2853,91.0,14.0,9.91,23.0
khalil shakir,Khalil Shakir,WR,48.0,BUF,0.3519,95.0,16.0,10.4,148.0
michael wilson,Michael Wilson,WR,43.0,ARI,0.4582,126.0,17.0,12.98,94.0
juwan johnson,Juwan Johnson,TE,19.0,NO,0.7183,102.0,17.0,10.58,
