full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id,gsis_id,passing_yards_2024,passing_tds_2024,rushing_yards_2024,rushing_tds_2024,carries_2024,receptions_2024,receiving_yards_2024,receiving_tds_2024,targets_2024,passing_yards_2025,passing_tds_2025,rushing_yards_2025,rushing_tds_2025,carries_2025,receptions_2025,receiving_yards_2025,receiving_tds_2025,targets_2025,snap_share_2024,target_share_2024,snap_share_2025,target_share_2025,adp,adp_rank,ecr_rank,ecr_tier,sos_season,proj_points,custom_proj_points,bonus_points,total_points,fp_total_points,vols,games,wk_mean,wk_std,boom_rate,bust_rate,consistency,is_rookie,draft_pick,availability,floor,ceiling,p10,p90,P_pos1,P_pos2,P_pos3,p_elite,p_startable,p_bust,floor_healthy,ceiling_healthy,xppg,xppg_diff,switched_team,regression
Nick Vannett,TE,,33.0,,Active,10.0,3258,2576399.0,29328.0,c731aa8a-778b-4ccd-a19f-517eb66f47b7,00-0032394,0.0,0.0,0.0,0.0,0.0,17.0,135.0,3.0,20.0,,,,,,,,,,0.3605882352941176,0.039447731755424,0.083,,170.0,170.0,,,,33.3,33.3,3.5610532326763815,36.861053232676376,36.861053232676376,-139.81125955445663,12.0,4.041666666666667,3.7502626170669298,0.0,0.5833333333333334,0.9279000289650132,False,,,26.25224823297394,46.84214368878028,20.939798788258404,54.235475009350736,0.0,5e-05,0.0038,0.0,0.0,1.0,27.35923361739913,45.18500621033716,2.9175,1.124166666666667,True,TD-lucky
Justin Tucker,K,,35.0,,Active,13.0,1264,15683.0,26534.0,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,00-0029597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,169.6,169.6,,,,,,,,,,17.0,8.294117647058824,3.885304136781845,0.2352941176470588,0.1176470588235294,0.4684409242928465,False,,0.975,,,,,,,,,,,,,,,False,
Taysom Hill,TE,,35.0,,Active,9.0,4381,2468609.0,30614.0,3c8a55dd-20a8-4375-b711-49eb5e6e1d0e,00-0033357,21.0,0.0,278.0,6.0,39.0,23.0,187.0,0.0,31.0,57.0,1.0,114.0,1.0,52.0,11.0,91.0,0.0,16.0,0.425,0.0599613152804642,0.2461538461538461,0.0283185840707964,170.0,170.0,,,,,,,,,,21.0,7.148571428571429,9.940858255560377,0.1428571428571428,0.5238095238095238,1.3906076696427383,False,,0.7092941176470587,,,,,,,,,,,,,7.116190476190476,-0.25333333333333297,True,Sustainable
Kurtis Rourke,QB,SF,25.0,8.0,Active,1.0,12477,,,1b412617-dee5-4c07-bdfc-e26eeff7fe80,00-0040589,,,,,,,,,,,,,,,,,,,,,,,170.0,170.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
Reggie Gilliam,RB,NE,28.0,11.0,Active,6.0,7204,4039505.0,33357.0,4475bb8a-b5a6-4527-bfc7-8e7e03900984,00-0036187,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,24.0,0.0,2.0,,,,,170.0,170.0,449.0,15.0,2 out of 5 stars,7.9,8.280000000000001,1.204220634380544,9.484220634380543,9.484220634380543,-198.86903233906463,18.0,0.3055555555555556,0.8734463330577478,0.0,1.0,2.8585516354617195,False,,,4.28330392741323,13.295306312749874,2.955069227124776,17.62229804614568,0.0,0.0,0.0,0.0,0.0,1.0,4.79732233388859,13.075870219079116,,,True,
Josh Cameron,WR,JAX,23.0,7.0,Active,0.0,13394,,,29f6ab49-33a9-4fc8-838f-fc41e248829d,CAM108646,,,,,,,,,,,,,,,,,,,,,,,170.0,170.0,,,,0.0,0.0,0.0,0.0,0.0,-211.16385532648977,,,,,,,True,191.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,False,
Jared Wiley,TE,KC,25.0,5.0,Active,2.0,11595,,,a952a370-a43f-45ec-8371-0665f0b9551e,00-0039824,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.1928571428571428,0.0017482517482517,0.098,0.0018214936247723,170.0,170.0,,,,26.5,26.5,3.38801997747823,29.88801997747823,29.88801997747823,-146.7842928096548,,,,,,,True,,,18.44022565033864,40.09704796409247,14.26056431605895,48.37096774770222,5e-05,0.00015,0.0038,0.0,5e-05,0.99995,19.6016386436564,38.996657760727906,,,False,
Trevor Etienne,RB,CAR,22.0,5.0,Active,1.0,12531,,,39e2d13c-0fb7-465f-ad8b-0b4bb73e1124,00-0040644,,,,,,,,,,0.0,0.0,94.0,0.0,20.0,3.0,13.0,0.0,3.0,,,0.0558823529411764,0.00625,170.0,170.0,310.0,13.0,1 out of 5 stars,29.7,29.880000000000003,6.1939785637341975,36.0739785637342,36.0739785637342,-172.27927440971098,17.0,0.8058823529411765,1.2275333947775589,0.0,1.0,1.5232166212568248,False,,0.9066666666666666,21.73598953119631,48.43034656848219,16.468140737933105,58.64710209022888,0.0,0.0,0.0001,0.0,0.0,1.0,23.140644249909226,47.06838126345489,2.051111111111111,-0.48444444444444446,False,Sustainable
Patrick Taylor,RB,SF,28.0,8.0,Active,6.0,6963,4039358.0,33235.0,ef87e355-8e0c-40ed-a85d-bca4896d4f1e,00-0035973,0.0,0.0,183.0,1.0,39.0,3.0,25.0,0.0,11.0,,,,,,,,,,0.1961538461538461,0.0214424951267056,,,170.0,170.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,
Trey Smack,K,GB,23.0,11.0,Active,0.0,13545,,,fc5890c6-b22d-4b5b-8ca5-2722b077bc8b,SMA037753,,,,,,,,,,,,,,,,,,,,,,,169.5,169.5,432.0,15.0,4 out of 5 stars,125.4,34.1,109.79724896836314,143.89724896836313,143.89724896836313,-7.732187070151298,,,,,,,True,216.0,,85.41397439010686,178.62090414768505,65.10369598128251,213.8565056640971,0.30945,0.31975,0.3708,0.11365,0.30945,0.69055,88.03818176621557,173.52873354299874,,,False,
