full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id
Dalyn Dawkins,RB,,27.0,,Active,4.0,5619,3052449.0,31620.0,12c39c1f-d579-4bd5-b736-62afd23b8208
Boston Scott,RB,,29.0,,Active,6.0,5122,3051439.0,31171.0,768f6afa-ba24-40d9-bdc1-3184bba2ec2b
Devontez Walker,WR,BAL,25.0,,Active,2.0,11629,,,b5d1ed29-c72a-45ff-ae60-337e13728b2f
Behren Morton,QB,NE,24.0,,Active,0.0,13295,,,0fe9c501-799c-45f7-a48f-2b4d9d6e9452
Melvin Gordon,RB,,30.0,,Active,9.0,2320,2576434.0,28403.0,0f8ccece-d663-4069-944b-f318f64c60b7
AJ McCarron,QB,,33.0,,Active,10.0,1895,16810.0,27692.0,d4b30988-e8c5-4689-8037-f79a0d3c2774
Ty James,WR,,23.0,,Active,1.0,11906,,,3baf0d30-0582-11ef-b69a-073c4b74ef80
Oronde Gadsden,TE,LAC,23.0,,Active,1.0,12493,,,6af50530-145a-4b34-946d-ce1a7f7d3166
TaMerik Williams,RB,,,,Active,1.0,12028,,,ea252190-071e-11ef-b5d5-336b9ab73639
LaJohntay Wester,WR,BAL,24.0,,Active,1.0,12699,,,f4e1d4de-95e9-452e-95ab-3555989d90bb
D.J. Foster,RB,,28.0,,Inactive,6.0,3488,2978124.0,29872.0,39d12962-65a4-4107-8924-56f48fce31ef
Rahsul Faison,RB,,,,Active,0.0,13323,,,
DeAngelo Hardy,WR,,,,Active,1.0,12244,,,62a48e20-09a5-11ef-929e-4bbe71d7edef
Rex Burkhead,RB,,32.0,,Active,10.0,1387,15971.0,26813.0,bd8052bd-0898-430b-99c9-2529e895ae79
Kyle Pitts,TE,ATL,25.0,,Active,5.0,7553,,,1f3deb24-9ff8-4769-8f42-825eff7742f6
Demario Richard,RB,,25.0,,Active,4.0,5143,3128800.0,31337.0,aa9c9fa1-9278-4e33-b1e4-3ae739beae77
