full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id,gsis_id,passing_yards_2024,passing_tds_2024,rushing_yards_2024,rushing_tds_2024,carries_2024,receptions_2024,receiving_yards_2024,receiving_tds_2024,targets_2024,passing_yards_2025,passing_tds_2025,rushing_yards_2025,rushing_tds_2025,carries_2025,receptions_2025,receiving_yards_2025,receiving_tds_2025,targets_2025,snap_share_2024,target_share_2024,snap_share_2025,target_share_2025,adp,adp_rank,ecr_rank,ecr_tier,sos_season,proj_points,custom_proj_points,bonus_points,total_points,vols,games,wk_mean,wk_std,boom_rate,bust_rate,consistency,is_rookie,draft_pick,availability,floor,ceiling,p10,p90,P_pos1,P_pos2,P_pos3,p_elite,p_startable,p_bust,overall_rank,pos_rank,pos_label,rank_ecr,rank_composite,value_gap,market,risk_tier
Bijan Robinson,RB,ATL,24.0,11.0,Active,3.0,9509,,,f78d68c2-f9da-48e7-b954-26b69efd828d,00-0038542,0.0,0.0,1456.0,14.0,304.0,61.0,431.0,1.0,72.0,0.0,0.0,1478.0,7.0,287.0,79.0,820.0,4.0,103.0,0.754,0.134,0.782,0.198,2.0,2.0,2.0,1.0,2 out of 5 stars,370.1,370.43,73.488,443.918,217.273,34.0,21.015,8.509,0.529,0.0,0.405,False,,0.944,355.524,545.323,299.424,604.519,0.857,0.076,0.015,0.419,0.939,0.061,1,1,RB1,1,1,1.0,fair,Safe
Jahmyr Gibbs,RB,DET,24.0,6.0,Active,3.0,9221,,,fef9457e-6497-47de-9bf2-cc3b95929375,00-0039139,0.0,0.0,1412.0,16.0,250.0,52.0,517.0,4.0,63.0,0.0,0.0,1223.0,13.0,243.0,77.0,616.0,5.0,94.0,0.553,0.121,0.67,0.171,1.0,1.0,4.0,1.0,5 out of 5 stars,372.5,372.21,70.21,442.42,215.775,34.0,21.582,11.074,0.412,0.029,0.513,False,,0.92,344.499,545.185,282.718,610.138,0.834,0.093,0.021,0.399,0.937,0.063,2,2,RB2,2,2,-1.0,fair,Balanced
Puka Nacua,WR,LAR,25.0,11.0,Active,3.0,9493,,,111be44d-7bc2-4cad-934d-c9e946293b2f,00-0039075,0.0,0.0,46.0,1.0,11.0,79.0,990.0,3.0,106.0,0.0,0.0,105.0,1.0,10.0,129.0,1715.0,10.0,166.0,0.697,0.196,0.682,0.286,4.0,4.0,3.0,1.0,1 out of 5 stars,355.5,355.77,41.94,397.71,189.847,27.0,21.615,10.178,0.519,0.074,0.471,False,,0.886,302.956,495.073,245.176,555.362,0.789,0.109,0.028,0.422,0.926,0.074,3,1,WR1,3,3,1.0,fair,Balanced
Ja'Marr Chase,WR,CIN,26.0,6.0,Active,5.0,7564,,,fa99e984-d63b-4ef4-a164-407f68a7eeaf,00-0036900,0.0,0.0,32.0,0.0,3.0,127.0,1708.0,17.0,175.0,0.0,0.0,14.0,0.0,3.0,125.0,1412.0,8.0,185.0,0.923,0.279,0.944,0.304,3.0,3.0,1.0,1.0,4 out of 5 stars,335.6,335.52,43.573,379.093,171.231,33.0,21.776,11.618,0.515,0.061,0.534,False,,0.944,296.109,468.865,248.354,523.112,0.766,0.136,0.03,0.351,0.932,0.068,5,2,WR2,4,4,-2.0,fair,Balanced
Jaxon Smith-Njigba,WR,SEA,24.0,11.0,Active,3.0,9488,,,6215db71-1e13-4c62-8f14-2005d33dee47,00-0038543,35.0,0.0,26.0,0.0,5.0,100.0,1130.0,6.0,137.0,0.0,0.0,36.0,0.0,7.0,119.0,1793.0,10.0,163.0,0.864,0.241,0.774,0.358,5.0,5.0,5.0,1.0,3 out of 5 stars,337.0,337.03,38.219,375.249,167.386,34.0,18.085,8.668,0.441,0.118,0.479,False,,0.968,299.11,462.351,255.654,513.664,0.775,0.134,0.026,0.337,0.935,0.065,6,3,WR3,6,5,-1.0,fair,Balanced
Amon-Ra St. Brown,WR,DET,26.0,6.0,Active,5.0,7547,,,26ef0447-29b8-4dd1-9831-dcbf8132bb74,00-0036963,7.0,1.0,6.0,0.0,2.0,115.0,1263.0,12.0,141.0,0.0,0.0,9.0,0.0,3.0,117.0,1401.0,11.0,172.0,0.883,0.27,0.852,0.313,7.0,7.0,6.0,2.0,4 out of 5 stars,319.4,319.41,37.097,356.507,148.645,34.0,18.946,10.044,0.412,0.059,0.53,False,,0.956,280.67,440.211,236.89,490.619,0.705,0.178,0.045,0.265,0.928,0.072,8,4,WR4,7,6,-1.0,fair,Balanced
Jonathan Taylor,RB,IND,27.0,13.0,Active,6.0,6813,4242335.0,32711.0,925195a4-06ba-4e37-ae7d-a3d6a5419139,00-0036223,0.0,0.0,1431.0,11.0,303.0,18.0,136.0,1.0,31.0,0.0,0.0,1585.0,18.0,323.0,46.0,378.0,2.0,55.0,0.803,0.063,0.826,0.104,8.5,8.0,10.0,2.0,4 out of 5 stars,309.7,309.81,71.122,380.932,154.287,31.0,19.645,11.137,0.355,0.065,0.567,False,,0.801,254.657,491.225,186.645,560.422,0.621,0.207,0.086,0.24,0.879,0.121,7,4,RB4,8,7,1.0,fair,Injury Risk
De'Von Achane,RB,MIA,24.0,6.0,Active,3.0,9226,,,a4ef921b-8767-4b4f-a651-7675c00f9af0,00-0039040,0.0,0.0,907.0,6.0,203.0,78.0,592.0,6.0,87.0,0.0,0.0,1350.0,8.0,238.0,67.0,488.0,4.0,85.0,0.624,0.153,0.754,0.184,16.0,16.0,13.0,3.0,3 out of 5 stars,310.3,310.33,64.654,374.984,148.339,33.0,18.87,8.207,0.394,0.091,0.435,False,,0.862,278.22,468.75,217.701,523.674,0.651,0.221,0.058,0.195,0.911,0.089,9,5,RB5,9,8,7.0,fair,Safe
Christian McCaffrey,RB,SF,30.0,8.0,Active,9.0,4034,3117251.0,30121.0,f96db0af-5e25-42d1-a07a-49b4e065b364,00-0033280,0.0,0.0,202.0,0.0,50.0,15.0,146.0,0.0,19.0,0.0,0.0,1202.0,10.0,311.0,102.0,924.0,7.0,129.0,0.722,0.037,0.831,0.235,6.0,6.0,8.0,2.0,2 out of 5 stars,342.4,342.68,67.655,410.335,183.69,21.0,22.21,8.935,0.571,0.0,0.402,False,,0.679,200.33,579.63,112.426,673.775,0.602,0.14,0.093,0.361,0.794,0.206,4,3,RB3,5,9,2.0,fair,Injury Risk
Ashton Jeanty,RB,LV,22.0,13.0,Active,1.0,12527,,,320fc4b7-76c7-43af-bbfd-1a22ba8f78cb,00-0040122,,,,,,,,,,0.0,0.0,975.0,5.0,266.0,55.0,346.0,5.0,73.0,,,0.779,0.148,9.5,9.0,14.0,3.0,2 out of 5 stars,275.4,274.99,67.161,342.151,115.506,17.0,14.535,8.969,0.176,0.118,0.617,False,,0.907,258.64,429.643,209.507,481.37,0.542,0.304,0.082,0.119,0.905,0.095,10,6,RB6,11,10,-1.0,fair,Boom/Bust
