sleeper_id,full_name,position,team,status,injury_status,injury_body_part,injury_start_date,injury_notes,news_updated,depth_chart_position,depth_chart_order,adp_ppr,adp_std,adp_half_ppr,adp_2qb,proj_pts_ppr,proj_pts_std,proj_rush_yds,proj_rush_att,proj_rec,proj_rec_yds,proj_rec_td,proj_fumbles_lost,proj_rush_td,proj_pass_yds,proj_pass_td,proj_pass_int,proj_pass_att,nn
7996,Dillon Stoner,WR,,Inactive,,,,,1673921116541.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,dillon stoner
13269,Fernando Mendoza,QB,LV,Active,,,,,1785768305146.0,QB,1.0,169.5,188.5,170.2,39.5,212.16,212.16,234.0,53.0,,,,3.0,2.0,2894.0,19.0,11.0,434.0,fernando mendoza
1338,Matt Barkley,QB,,Active,,,,,1703628021049.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,matt barkley
13420,Bryce Lance,WR,NO,Active,,,,,1784742316480.0,LWR,5.0,999.0,999.0,999.0,999.0,38.7,23.7,,,15.0,177.0,1.0,,,,,,,bryce lance
8634,Chris Pierce,TE,,Active,,,,,1715378144995.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,chris pierce
4187,Brian Hill,RB,,Active,,,,,1693851654132.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,brian hill
11593,Brevyn Spann-Ford,TE,DAL,Active,,,,,1784767205726.0,TE,4.0,999.0,999.0,999.0,999.0,29.4,17.4,,,12.0,114.0,1.0,,,,,,,brevyn spann ford
2279,Paul Richardson,WR,,Active,,,,,1599357357141.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,paul richardson
12512,Quinshon Judkins,RB,CLE,Active,,,,,1785520232777.0,RB,1.0,55.0,44.8,49.6,77.3,196.0,164.0,1012.0,244.0,32.0,228.0,1.0,1.0,6.0,,,,,quinshon judkins
1476,Latavius Murray,RB,,Active,,,,,1753988440500.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,latavius murray
5080,Damion Ratley,WR,,Active,,,,,1640738103677.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,damion ratley
12634,Jordan Watkins,WR,SF,Active,,,,,1782249624099.0,SWR,8.0,999.0,999.0,999.0,999.0,2.4,1.4,,,1.0,14.0,,,,,,,,jordan watkins
6625,Clayton Hatfield,K,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,clayton hatfield
8884,JJ Howland,TE,,Active,,,,,1663105209998.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jj howland
12107,Dylan Leonard,TE,,Active,,,,,1732583146998.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,dylan leonard
4151,Jake Butt,TE,,Injured Reserve,,,,,1627528547561.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jake butt
13124,Jeremiah Webb,WR,NE,Inactive,IR,Arm,,,1785104414293.0,LWR,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jeremiah webb
5195,Akrum Wadley,RB,,Active,,,,,1535847008044.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,akrum wadley
1110,T.Y. Hilton,WR,,Active,,,,,1773880546292.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,t y hilton
5710,Nick Holley,WR,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,nick holley
7565,Terrace Marshall,WR,MIA,Active,,,,,1770243326277.0,LWR,8.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,terrace marshall
11374,James Blackman,QB,,Active,,,,,1693255850055.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,james blackman
11257,Shedrick Jackson,WR,LV,Active,,,,,1770860102890.0,RWR,8.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,shedrick jackson
7103,Tavien Feaster,RB,ARI,Active,,,,,1640840438408.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,tavien feaster
8589,Marcus Santos-Silva,TE,,Active,,,,,1661258431820.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,marcus santos silva
1352,Robert Woods,WR,,Active,NA,Undisclosed,,,1771372535235.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,robert woods
4930,Franko House,TE,CHI,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,franko house
8419,Stanley Berryhill,WR,,Active,,,,,1696370132496.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,stanley berryhill
7005,Scottie Phillips,RB,,Active,,,,,1662427838616.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,scottie phillips
13405,Kaytron Allen,RB,WAS,Active,,,,,1785872407292.0,RB,5.0,181.2,156.6,180.8,206.7,45.9,37.9,220.0,53.0,8.0,59.0,,1.0,2.0,,,,,kaytron allen
6144,Trayveon Williams,RB,,Active,,,,,1767615308147.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,trayveon williams
3542,DeAndre Reaves,WR,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,deandre reaves
3495,Mike Bercovici,QB,,Active,,,,,1512070802706.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,mike bercovici
8181,Connor Heyward,TE,LV,Active,,,,,1780611637341.0,RB,3.0,999.0,999.0,999.0,999.0,14.7,10.7,14.0,7.0,4.0,33.0,,,1.0,,,,,connor heyward
11385,Brian Walker,TE,,Active,,,,,1686694206782.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,brian walker
6334,Damarea Crockett,RB,,Active,,,,,1692284428650.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,damarea crockett
13166,Kisean Johnson,WR,,Active,,,,,1767736214271.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,kisean johnson
10230,Jalen Wayne,WR,,Active,,,,,1726001753612.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jalen wayne
6951,Eno Benjamin,RB,,Active,,,,,1724113219604.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,eno benjamin
13810,Rohan Jones,TE,LAR,Active,,,,,1777442130844.0,TE,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,rohan jones
4335,P.J. Walker,QB,,Active,,,,,1777590654502.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,p j walker
4392,Malcolm Lewis,WR,,Active,,,,,1515030301634.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,malcolm lewis
11472,Alfonzo Graham,RB,,Inactive,,,,,1712267430973.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,alfonzo graham
6919,Thaddeus Moss,TE,,Active,,,,,1662395742683.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,thaddeus moss
8151,Kenneth Walker,RB,KC,Active,,,,,1785469226090.0,RB,1.0,22.9,22.7,20.6,27.4,244.0,207.0,1158.0,259.0,37.0,272.0,2.0,1.0,9.0,,,,,kenneth walker
13773,Isaiah Jacobs,RB,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,isaiah jacobs
10236,Dalton Kincaid,TE,BUF,Active,,,,,1785778207698.0,TE,1.0,97.1,81.1,97.5,102.8,163.6,97.6,,,66.0,736.0,4.0,,,,,,,dalton kincaid
2078,Odell Beckham,WR,NYG,Active,,,,,1785962740377.0,LWR,5.0,999.0,999.0,999.0,999.0,28.0,18.0,,,10.0,120.0,1.0,,,,,,,odell beckham
12003,Gunnar Watson,QB,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,gunnar watson
12383,John Jiles,WR,,Active,Questionable,Undisclosed,,,1777331719938.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,john jiles
12352,Jeremy Moussa,QB,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jeremy moussa
4752,Fred Brown,WR,,Active,,,,,1630457453654.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,fred brown
12062,Cam Grandy,TE,CIN,Active,,,,,1767658508601.0,TE,6.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,cam grandy
11247,Mac Hippenhammer,WR,,Active,,,,,1693405507955.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,mac hippenhammer
4338,Levern Jacobs,WR,,Inactive,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,levern jacobs
12462,Damien Martinez,RB,GB,Active,,,,,1780024826255.0,RB,5.0,999.0,999.0,999.0,999.0,7.5,5.5,41.0,10.0,2.0,14.0,,,,,,,,damien martinez
6487,Charles Scarff,TE,,Inactive,,,,,1598920530072.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,charles scarff
12893,Nate McCollum,WR,,Active,,,,,1756168206688.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,nate mccollum
5295,De'Mornay Pierson-El,WR,,Active,,,,,1640187028484.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,de mornay pierson el
4485,William Stanback,RB,,Active,,,,,1598218512756.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,william stanback
3732,Richard Mullaney,WR,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,richard mullaney
8026,Landon Rice,TE,,Inactive,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,landon rice
6089,Daniel Helm,TE,,Active,,,,,1693093515325.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,daniel helm
7547,Amon-Ra St. Brown,WR,DET,Active,,,,,1785693655414.0,SWR,1.0,8.1,16.8,8.2,16.3,280.5,174.5,16.0,3.0,106.0,1249.0,8.0,1.0,,,,,,amon ra st brown
11900,Jacob Kibodi,RB,,Active,,,,,1736215507942.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jacob kibodi
