espn_id,full_name,position,pro_team_id,adp,adp_pct_change,pct_owned,pct_started,proj_total_espn_default,proj_rush_att,proj_rush_yds,proj_rush_td,proj_rec,proj_rec_yds,proj_rec_td,proj_pass_att,proj_pass_yds,proj_pass_td,proj_pass_int,proj_fg_made,proj_fg_att,proj_pat_made,nn
4569156,Michael Wiley,RB,0,169.98,0.0,0.02,0.01,,,,,,,,,,,,,,,michael wiley
14473,Michael Campbell,WR,20,,,,,,,,,,,,,,,,,,,michael campbell
14478,Drew Davis,WR,1,,,,,,,,,,,,,,,,,,,drew davis
14480,Collin Franklin,TE,0,,,,,,,,,,,,,,,,,,,collin franklin
14485,Chris Koepplin,K,0,,,,,,,,,,,,,,,,,,,chris koepplin
4290778,Luis Perez,QB,0,,,,,,,,,,,,,,,,,,,luis perez
3930298,Noah Togiai,TE,0,,,,,,,,,,,,,,,,,,,noah togiai
14500,Jeremy Ross,WR,22,,,,,,,,,,,,,,,,,,,jeremy ross
3045565,Jamaal Jones,WR,29,,,,,,,,,,,,,,,,,,,jamaal jones
4569330,Austin Jones,RB,0,,,,,,,,,,,,,,,,,,,austin jones
4372716,Nikko Remigio,WR,12,169.98,0.01,0.08,0.02,,,,,,,,,,,,,,,nikko remigio
3045523,Kendrick Bourne,WR,22,169.97,0.02,0.22,0.06,,,,,22.769,239.373,0.669,,,,,,,,kendrick bourne
14518,Shaun Draughn,RB,19,,,,,,,,,,,,,,,,,,,shaun draughn
2979985,Zach Conque,TE,11,,,,,,,,,,,,,,,,,,,zach conque
14520,Damien Berry,RB,0,,,,,,,,,,,,,,,,,,,damien berry
3930272,Tim Cook,RB,30,,,,,,,,,,,,,,,,,,,tim cook
4372741,McCallan Castles,TE,9,,,,,,,,,,,,,,,,,,,mccallan castles
4880638,Kye Robichaux,RB,8,,,,,,,,,,,,,,,,,,,kye robichaux
14535,Vai Taua,RB,0,,,,,,,,,,,,,,,,,,,vai taua
4241671,Jeremiah Haydel,WR,0,,,,,,,,,,,,,,,,,,,jeremiah haydel
14537,LaQuan Williams,WR,33,,,,,,,,,,,,,,,,,,,laquan williams
4569234,Keshunn Abram,WR,0,,,,,,,,,,,,,,,,,,,keshunn abram
14542,Brett Brackett,TE,10,,,,,,,,,,,,,,,,,,,brett brackett
4045062,Rysen John,TE,0,,,,,,,,,,,,,,,,,,,rysen john
4241555,Elijah Mitchell,RB,21,169.99,0.0,0.05,0.01,,,,,,,,,,,,,,,elijah mitchell
4241556,Levi Lewis,QB,26,,,,,,,,,,,,,,,,,,,levi lewis
4569239,Trevon Clark,WR,0,,,,,,,,,,,,,,,,,,,trevon clark
2980077,Jonathan Williams,RB,0,,,,,,,,,,,,,,,,,,,jonathan williams
2980105,Matt Jones,RB,0,,,,,,,,,,,,,,,,,,,matt jones
