name,position,team,adp,high,low,stdev,times_drafted,bye,nn
Sam LaPorta,TE,DET,87.8,58,142,11.4,355,6,sam laporta
Michael Wilson,WR,ARI,87.9,62,112,9.6,596,14,michael wilson
Aaron Jones Sr.,RB,MIN,89.5,61,120,10.7,244,6,aaron jones
Kenny Gainwell,RB,TB,90.1,63,119,10.1,355,10,kenneth gainwell
Trevor Lawrence,QB,JAX,90.5,58,125,12.1,594,7,trevor lawrence
J.K. Dobbins,RB,DEN,90.9,65,116,9.8,498,10,j k dobbins
Jayden Reed,WR,GB,91.8,72,113,7.2,249,11,jayden reed
Josh Downs,WR,IND,92.5,67,118,9.5,433,13,josh downs
Denver Defense,DEF,DEN,93.9,69,112,9.5,172,10,denver defense
Travis Kelce,TE,KC,95.2,44,150,19.6,72,5,travis kelce
Quentin Johnston,WR,LAC,95.3,73,118,8.3,496,7,quentin johnston
Patrick Mahomes,QB,KC,95.8,62,127,13.2,498,5,patrick mahomes
Rachaad White,RB,WAS,97.3,70,119,10.3,423,7,rachaad white
Deebo Samuel Sr.,WR,SF,97.5,61,163,13.7,219,8,deebo samuel
Kyle Monangai,RB,CHI,99.8,69,127,11.6,529,10,kyle monangai
Khalil Shakir,WR,BUF,100.6,84,113,6.1,143,7,khalil shakir
Seattle Defense,DEF,SEA,100.7,76,120,9.4,198,11,seattle defense
Jordan Addison,WR,MIN,102.5,82,120,7.7,314,6,jordan addison
Xavier Worthy,WR,KC,103.9,84,120,7.4,299,5,xavier worthy
Jaxson Dart,QB,NYG,104.9,71,130,13.0,376,8,jaxson dart
Jared Goff,QB,DET,105.4,69,144,13.6,314,6,jared goff
Dallas Goedert,TE,PHI,105.5,54,150,19.5,118,10,dallas goedert
Makai Lemon,WR,PHI,105.8,84,126,8.0,476,10,makai lemon
Caleb Williams,QB,CHI,106.6,67,132,15.1,764,10,caleb williams
Houston Defense,DEF,HOU,107.1,83,132,9.0,520,8,houston defense
Justin Herbert,QB,LAC,108.9,71,139,14.5,711,7,justin herbert
Romeo Doubs,WR,NE,109.1,83,135,10.0,188,11,romeo doubs
Stefon Diggs,WR,WAS,110.7,55,179,38.6,9,7,stefon diggs
Tucker Kraft,TE,GB,111.3,54,172,22.0,897,11,tucker kraft
Jonathon Brooks,RB,CAR,113.3,71,150,16.2,1282,5,jonathon brooks
Jacory Croskey-Merritt,RB,WAS,113.6,75,146,14.8,511,7,jacory croskey merritt
John Metchie III,WR,CAR,115.0,108,122,3.5,32,5,john metchie
