name,position,team,adp,high,low,stdev,times_drafted,bye,nn
Jahmyr Gibbs,RB,DET,1.6,1,6,0.8,589,6,jahmyr gibbs
Bijan Robinson,RB,ATL,2.0,1,4,0.8,407,11,bijan robinson
Puka Nacua,WR,LAR,2.7,1,4,0.8,142,11,puka nacua
Ja'Marr Chase,WR,CIN,4.2,1,8,1.2,900,6,ja marr chase
Christian McCaffrey,RB,SF,4.8,1,9,1.2,380,8,christian mccaffrey
Jaxon Smith-Njigba,WR,SEA,6.4,2,11,1.5,522,11,jaxon smith njigba
Jonathan Taylor,RB,IND,6.9,2,13,1.7,452,13,jonathan taylor
Amon-Ra St. Brown,WR,DET,7.6,4,11,1.4,483,6,amon ra st brown
De'Von Achane,RB,MIA,9.6,5,15,1.6,235,6,de von achane
Drake London,WR,ATL,10.7,6,16,1.7,157,11,drake london
CeeDee Lamb,WR,DAL,11.7,5,19,2.3,553,14,ceedee lamb
Ashton Jeanty,RB,LV,12.8,5,20,3.0,445,13,ashton jeanty
Justin Jefferson,WR,MIN,13.4,7,20,2.5,509,6,justin jefferson
James Cook III,RB,BUF,13.6,5,23,3.3,807,7,james cook
Chase Brown,RB,CIN,15.0,6,27,3.6,531,6,chase brown
Derrick Henry,RB,BAL,15.6,8,22,2.8,241,13,derrick henry
A.J. Brown,WR,NE,16.7,9,24,2.7,414,11,a j brown
Saquon Barkley,RB,PHI,17.6,9,26,3.1,733,10,saquon barkley
Omarion Hampton,RB,LAC,18.9,10,28,3.4,810,7,omarion hampton
Rashee Rice,WR,KC,20.8,9,31,5.3,246,5,rashee rice
George Pickens,WR,DAL,21.3,13,29,2.8,340,14,george pickens
Chris Olave,WR,NO,23.1,16,33,3.6,213,8,chris olave
Jeremiyah Love,RB,ARI,23.6,15,32,2.9,254,14,jeremiyah love
Nico Collins,WR,HOU,24.2,16,32,3.0,441,8,nico collins
Kenneth Walker III,RB,KC,24.5,12,37,4.5,732,5,kenneth walker
Josh Jacobs,RB,GB,24.5,18,32,2.4,293,11,josh jacobs
Josh Allen,QB,BUF,27.0,10,40,6.5,456,7,josh allen
Garrett Wilson,WR,NYJ,27.6,19,34,2.9,112,13,garrett wilson
Breece Hall,RB,NYJ,27.8,20,37,3.0,225,13,breece hall
Zay Flowers,WR,BAL,28.6,20,42,4.2,138,13,zay flowers
DeVonta Smith,WR,PHI,28.7,21,37,3.0,475,10,devonta smith
Kyren Williams,RB,LAR,32.9,22,45,4.1,611,11,kyren williams
Tetairoa McMillan,WR,CAR,33.2,24,43,3.5,284,5,tetairoa mcmillan
Trey McBride,TE,ARI,33.6,17,49,6.0,645,14,trey mcbride
Javonte Williams,RB,DAL,33.7,21,47,4.7,560,14,javonte williams
Cam Skattebo,RB,NYG,35.3,21,48,5.5,309,8,cam skattebo
Tee Higgins,WR,CIN,36.2,21,53,5.7,279,6,tee higgins
Travis Etienne Jr.,RB,NO,37.5,25,48,4.8,253,8,travis etienne
Brock Bowers,TE,LV,37.8,16,56,8.2,980,13,brock bowers
Emeka Egbuka,WR,TB,38.9,22,59,6.2,796,10,emeka egbuka
Ladd McConkey,WR,LAC,40.8,24,65,6.2,602,7,ladd mcconkey
Terry McLaurin,WR,WAS,41.4,30,56,4.3,285,7,terry mclaurin
Davante Adams,WR,LAR,41.8,30,53,4.4,274,11,davante adams
Bucky Irving,RB,TB,43.3,31,55,4.5,258,10,bucky irving
D'Andre Swift,RB,CHI,45.5,34,55,4.2,271,10,d andre swift
Malik Nabers,WR,NYG,45.6,20,71,9.8,733,8,malik nabers
Jaylen Waddle,WR,DEN,46.2,29,73,6.3,487,10,jaylen waddle
Quinshon Judkins,RB,CLE,47.9,33,65,5.7,430,11,quinshon judkins
Jameson Williams,WR,DET,49.4,34,65,5.9,178,6,jameson williams
Luther Burden III,WR,CHI,51.8,35,69,6.3,414,10,luther burden
Joe Burrow,QB,CIN,52.7,27,72,9.8,310,6,joe burrow
Drake Maye,QB,NE,53.6,33,67,7.5,167,11,drake maye
Lamar Jackson,QB,BAL,53.6,32,69,8.1,271,13,lamar jackson
Colston Loveland,TE,CHI,55.3,24,79,11.9,414,10,colston loveland
Rome Odunze,WR,CHI,55.8,39,74,7.0,311,10,rome odunze
Mike Evans,WR,SF,56.6,38,80,7.2,665,8,mike evans
TreVeyon Henderson,RB,NE,56.7,40,71,6.1,431,11,treveyon henderson
David Montgomery,RB,HOU,58.0,37,82,7.9,601,8,david montgomery
Bhayshul Tuten,RB,JAX,58.5,37,79,8.1,596,7,bhayshul tuten
Tyler Warren,TE,IND,61.8,34,89,10.4,435,13,tyler warren
DK Metcalf,WR,PIT,62.9,41,83,8.4,253,9,dk metcalf
Dak Prescott,QB,DAL,63.3,41,87,8.3,185,14,dak prescott
Tony Pollard,RB,TEN,64.5,45,86,8.7,180,9,tony pollard
Christian Watson,WR,GB,64.8,42,86,8.6,752,11,christian watson
Jaylen Warren,RB,PIT,65.0,49,81,5.8,171,9,jaylen warren
Jadarian Price,RB,SEA,66.4,43,91,8.7,657,11,jadarian price
DJ Moore,WR,BUF,66.6,36,95,13.3,838,7,dj moore
Alec Pierce,WR,IND,67.5,42,89,9.6,277,13,alec pierce
Courtland Sutton,WR,DEN,68.0,45,90,10.0,267,10,courtland sutton
Marvin Harrison Jr.,WR,ARI,68.4,42,92,9.8,478,14,marvin harrison
Michael Pittman Jr.,WR,PIT,70.4,49,88,7.9,298,9,michael pittman
Rhamondre Stevenson,RB,NE,71.1,53,97,6.9,119,11,rhamondre stevenson
Carnell Tate,WR,TEN,71.4,43,93,10.7,391,9,carnell tate
Harold Fannin Jr.,TE,CLE,72.5,49,101,9.8,121,11,harold fannin
Jayden Daniels,QB,WAS,74.1,53,109,10.1,209,7,jayden daniels
Rico Dowdle,RB,PIT,76.0,60,91,6.0,172,9,rico dowdle
Parker Washington,WR,JAX,76.3,54,95,8.4,358,7,parker washington
Jalen Hurts,QB,PHI,77.6,48,111,11.3,249,10,jalen hurts
Sam LaPorta,TE,DET,79.8,49,120,13.3,192,6,sam laporta
Brock Purdy,QB,SF,79.9,56,111,12.2,85,8,brock purdy
Chuba Hubbard,RB,CAR,80.5,56,113,9.5,281,5,chuba hubbard
Jordyn Tyson,WR,NO,80.8,56,99,9.3,303,8,jordyn tyson
Brian Thomas Jr.,WR,JAX,82.4,60,104,8.3,640,7,brian thomas
Kyle Pitts Sr.,TE,ATL,82.6,53,116,11.4,215,11,kyle pitts
Jakobi Meyers,WR,JAX,83.7,56,103,10.3,160,7,jakobi meyers
Wan'Dale Robinson,WR,TEN,85.1,53,119,16.5,228,9,wan dale robinson
Chris Godwin Jr.,WR,TB,85.3,64,107,7.9,338,10,chris godwin
Michael Wilson,WR,ARI,87.2,62,112,9.5,340,14,michael wilson
Trevor Lawrence,QB,JAX,88.5,58,116,11.5,327,7,trevor lawrence
J.K. Dobbins,RB,DEN,90.3,63,117,10.4,336,10,j k dobbins
Jayden Reed,WR,GB,91.7,72,105,7.3,164,11,jayden reed
Matthew Stafford,QB,LAR,92.1,56,127,13.9,308,11,matthew stafford
Josh Downs,WR,IND,92.2,68,117,9.1,269,13,josh downs
Kenny Gainwell,RB,TB,92.3,64,128,10.7,264,10,kenneth gainwell
RJ Harvey,RB,DEN,92.5,60,131,15.3,360,10,rj harvey
Seattle Defense,DEF,SEA,95.5,64,112,11.9,125,11,seattle defense
Travis Kelce,TE,KC,95.7,51,142,17.0,137,5,travis kelce
Jordan Addison,WR,MIN,95.8,68,119,10.4,187,6,jordan addison
Aaron Jones Sr.,RB,MIN,97.8,69,124,13.1,199,6,aaron jones
Justin Herbert,QB,LAC,97.9,58,139,18.3,431,7,justin herbert
Kyle Monangai,RB,CHI,97.9,65,142,12.4,502,10,kyle monangai
Denver Defense,DEF,DEN,98.2,78,116,7.7,151,10,denver defense
Makai Lemon,WR,PHI,98.4,70,122,10.9,379,10,makai lemon
Caleb Williams,QB,CHI,99.5,61,137,14.8,542,10,caleb williams
Quentin Johnston,WR,LAC,100.3,72,125,10.6,413,7,quentin johnston
Jared Goff,QB,DET,102.4,68,129,14.5,280,6,jared goff
Ricky Pearsall,WR,SF,103.0,81,121,8.1,426,8,ricky pearsall
Tucker Kraft,TE,GB,103.6,44,168,27.6,448,11,tucker kraft
Rachaad White,RB,WAS,103.7,71,143,12.4,321,7,rachaad white
Patrick Mahomes,QB,KC,104.1,68,130,13.8,416,5,patrick mahomes
Xavier Worthy,WR,KC,104.9,87,120,6.7,208,5,xavier worthy
Romeo Doubs,WR,NE,105.5,90,121,7.6,89,11,romeo doubs
Khalil Shakir,WR,BUF,105.5,80,126,9.6,119,7,khalil shakir
Houston Defense,DEF,HOU,106.9,83,127,8.8,303,8,houston defense
George Kittle,TE,SF,107.4,58,157,18.8,342,8,george kittle
Jaxson Dart,QB,NYG,111.2,72,148,15.0,269,8,jaxson dart
MarShawn Lloyd,RB,GB,113.4,106,119,6.4,7,11,marshawn lloyd
John Metchie III,WR,CAR,116.1,109,124,4.0,14,5,john metchie
Blake Corum,RB,LAR,116.7,78,148,14.7,687,11,blake corum
Matthew Golden,WR,GB,118.9,96,146,8.7,328,11,matthew golden
Jacory Croskey-Merritt,RB,WAS,119.1,77,150,16.2,295,7,jacory croskey merritt
Bo Nix,QB,DEN,119.8,91,139,10.9,260,10,bo nix
Jordan Mason,RB,MIN,119.9,85,152,13.3,487,6,jordan mason
Dallas Goedert,TE,PHI,120.7,69,152,19.7,187,10,dallas goedert
Tyjae Spears,RB,TEN,121.8,85,146,13.8,100,9,tyjae spears
Jonathon Brooks,RB,CAR,123.7,81,155,16.1,746,5,jonathon brooks
LA Rams Defense,DEF,LAR,123.9,74,180,21.6,453,11,la rams defense
KC Concepcion,WR,CLE,124.3,98,150,10.0,273,11,kc concepcion
Rashid Shaheed,WR,SEA,124.5,100,148,9.8,230,11,rashid shaheed
Jalen Coker,WR,CAR,127.3,106,147,8.0,146,5,jalen coker
Jake Ferguson,TE,DAL,127.9,76,179,21.4,309,14,jake ferguson
Jayden Higgins,WR,HOU,129.8,97,153,12.9,156,8,jayden higgins
Jacksonville Defense,DEF,JAX,130.2,104,180,18.5,72,7,jacksonville defense
Brandon Aubrey,PK,DAL,130.5,68,184,23.7,864,14,brandon aubrey
Baker Mayfield,QB,TB,130.5,102,149,10.9,143,10,baker mayfield
New England Defense,DEF,NE,134.0,78,180,21.3,134,11,new england defense
Jaydon Blue,RB,DAL,134.1,1,195,56.2,8,14,jaydon blue
Detroit Defense,DEF,DET,135.1,107,179,17.3,101,6,detroit defense
Minnesota Defense,DEF,MIN,135.2,109,179,14.9,102,6,minnesota defense
Tre Tucker,WR,LV,135.5,110,150,9.5,63,13,tre tucker
Mark Andrews,TE,BAL,135.9,90,173,17.5,225,13,mark andrews
Philadelphia Defense,DEF,PHI,136.5,97,179,15.5,168,10,philadelphia defense
