fp_page,page_type,ecr_type,player,id,pos,team,ecr,sd,best,worst,sportsdata_id,player_filename,yahoo_id,cbs_id,player_owned_avg,player_owned_espn,player_owned_yahoo,player_image_url,player_square_image_url,rank_delta,bye,mergename,scrape_date,tm
/nfl/rankings/best-ball-dst.php,best-dst,bp,San Francisco 49ers,8270,DST,SF,21.0,0.0,21,21,,san-francisco-defense.php,,,27.7,,,,,,8.0,San Francisco 49ers,2026-07-31,SFO
/nfl/rankings/best-ball-dst.php,best-dst,bp,Tampa Bay Buccaneers,8290,DST,TB,22.0,0.0,22,22,,tampa-bay-defense.php,,,22.5,,,,,,10.0,Tampa Bay Buccaneers,2026-07-31,TBB
/nfl/rankings/best-ball-dst.php,best-dst,bp,Chicago Bears,8050,DST,CHI,23.0,0.0,23,23,,chicago-defense.php,,,15.4,,,,,,10.0,Chicago Bears,2026-07-31,CHI
/nfl/rankings/best-ball-dst.php,best-dst,bp,Carolina Panthers,8040,DST,CAR,24.0,0.0,24,24,,carolina-defense.php,,,6.1,,,,,,5.0,Carolina Panthers,2026-07-31,CAR
/nfl/rankings/best-ball-dst.php,best-dst,bp,Miami Dolphins,8160,DST,MIA,25.0,0.0,25,25,,miami-defense.php,,,9.5,,,,,,6.0,Miami Dolphins,2026-07-31,MIA
/nfl/rankings/best-ball-dst.php,best-dst,bp,New York Jets,8210,DST,NYJ,26.0,0.0,26,26,,new-york-jets-defense.php,,,8.4,,,,,,13.0,New York Jets,2026-07-31,NYJ
/nfl/rankings/best-ball-dst.php,best-dst,bp,New York Giants,8200,DST,NYG,27.0,0.0,27,27,,new-york-giants-defense.php,,,24.2,,,,,,8.0,New York Giants,2026-07-31,NYG
/nfl/rankings/best-ball-dst.php,best-dst,bp,Tennessee Titans,8300,DST,TEN,28.0,0.0,28,28,,tennessee-defense.php,,,13.9,,,,,,9.0,Tennessee Titans,2026-07-31,TEN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jahmyr Gibbs,22968,RB,DET,1.4,0.49,1,2,,jahmyr-gibbs.php,,,99.3,,,,,,6.0,Jahmyr Gibbs,2026-07-31,DET
/nfl/rankings/best-ball-overall.php,best-overall,bo,Bijan Robinson,23133,RB,ATL,1.6,0.49,1,2,,bijan-robinson.php,,,99.4,,,,,,11.0,Bijan Robinson,2026-07-31,ATL
/nfl/rankings/best-ball-overall.php,best-overall,bo,Ja'Marr Chase,19788,WR,CIN,3.2,0.4,3,4,,jamarr-chase.php,,,99.4,,,,,,6.0,JaMarr Chase,2026-07-31,CIN
