season,team,playcaller,pc_prev,pc_changed
2025,LV,Chip Kelly,Luke Getsy,True
2019,MIA,Chad O'Shea,,False
2020,MIA,Chan Gailey,Chad O'Shea,True
2021,MIA,Godsey/Studesville,Chan Gailey,True
2022,MIA,Mike McDaniel,Godsey/Studesville,True
2023,MIA,Mike McDaniel,Mike McDaniel,False
2024,MIA,Mike McDaniel,Mike McDaniel,False
2025,MIA,Mike McDaniel,Mike McDaniel,False
2019,MIN,Kevin Stefanski,,False
2020,MIN,Gary Kubiak,Kevin Stefanski,True
2021,MIN,Klint Kubiak,Gary Kubiak,True
2022,MIN,Kevin O'Connell,Klint Kubiak,True
2023,MIN,Kevin O'Connell,Kevin O'Connell,False
2024,MIN,Kevin O'Connell,Kevin O'Connell,False
2025,MIN,Kevin O'Connell,Kevin O'Connell,False
2019,NE,Josh McDaniels,,False
2020,NE,Josh McDaniels,Josh McDaniels,False
2021,NE,Josh McDaniels,Josh McDaniels,False
2022,NE,Patricia/Judge,Josh McDaniels,True
2023,NE,Bill O'Brien,Patricia/Judge,True
2024,NE,Alex Van Pelt,Bill O'Brien,True
2025,NE,Josh McDaniels,Alex Van Pelt,True
2019,NO,Sean Payton,,False
2020,NO,Sean Payton,Sean Payton,False
2021,NO,Sean Payton,Sean Payton,False
2022,NO,Pete Carmichael,Sean Payton,True
2023,NO,Pete Carmichael,Pete Carmichael,False
2024,NO,Klint Kubiak,Pete Carmichael,True
2025,NO,Kellen Moore,Klint Kubiak,True
2019,NYG,Pat Shurmur,,False
2020,NYG,Jason Garrett,Pat Shurmur,True
2021,NYG,Jason Garrett,Jason Garrett,False
2022,NYG,Mike Kafka,Jason Garrett,True
2023,NYG,Mike Kafka,Mike Kafka,False
2024,NYG,Brian Daboll,Mike Kafka,True
2025,NYG,Mike Kafka,Brian Daboll,True
2019,NYJ,Adam Gase,,False
2020,NYJ,Adam Gase,Adam Gase,False
2021,NYJ,Mike LaFleur,Adam Gase,True
2022,NYJ,Mike LaFleur,Mike LaFleur,False
2023,NYJ,Nathaniel Hackett,Mike LaFleur,True
2024,NYJ,Nathaniel Hackett,Nathaniel Hackett,False
2025,NYJ,Tanner Engstrand,Nathaniel Hackett,True
2019,PHI,Doug Pederson,,False
2020,PHI,Doug Pederson,Doug Pederson,False
2021,PHI,Nick Sirianni,Doug Pederson,True
2022,PHI,Shane Steichen,Nick Sirianni,True
2023,PHI,Brian Johnson,Shane Steichen,True
2024,PHI,Kellen Moore,Brian Johnson,True
2025,PHI,Kevin Patullo,Kellen Moore,True
2019,PIT,Randy Fichtner,,False
2020,PIT,Randy Fichtner,Randy Fichtner,False
2021,PIT,Matt Canada,Randy Fichtner,True
2022,PIT,Matt Canada,Matt Canada,False
2023,PIT,Matt Canada,Matt Canada,False
2024,PIT,Arthur Smith,Matt Canada,True
2025,PIT,Arthur Smith,Arthur Smith,False
2019,SEA,Brian Schottenheimer,,False
2020,SEA,Brian Schottenheimer,Brian Schottenheimer,False
2021,SEA,Shane Waldron,Brian Schottenheimer,True
2022,SEA,Shane Waldron,Shane Waldron,False
2023,SEA,Shane Waldron,Shane Waldron,False
2024,SEA,Ryan Grubb,Shane Waldron,True
2025,SEA,Klint Kubiak,Ryan Grubb,True
2019,SF,Kyle Shanahan,,False
2020,SF,Kyle Shanahan,Kyle Shanahan,False
2021,SF,Kyle Shanahan,Kyle Shanahan,False
2022,SF,Kyle Shanahan,Kyle Shanahan,False
2023,SF,Kyle Shanahan,Kyle Shanahan,False
2024,SF,Kyle Shanahan,Kyle Shanahan,False
2025,SF,Kyle Shanahan,Kyle Shanahan,False
2019,TB,Byron Leftwich,,False
2020,TB,Byron Leftwich,Byron Leftwich,False
2021,TB,Byron Leftwich,Byron Leftwich,False
2022,TB,Byron Leftwich,Byron Leftwich,False
2023,TB,Dave Canales,Byron Leftwich,True
2024,TB,Liam Coen,Dave Canales,True
2025,TB,Josh Grizzard,Liam Coen,True
2019,TEN,Arthur Smith,,False
2020,TEN,Arthur Smith,Arthur Smith,False
2021,TEN,Todd Downing,Arthur Smith,True
2022,TEN,Todd Downing,Todd Downing,False
2023,TEN,Tim Kelly,Todd Downing,True
2024,TEN,Brian Callahan,Tim Kelly,True
2025,TEN,Brian Callahan,Brian Callahan,False
2019,WAS,Jay Gruden,,False
2020,WAS,Scott Turner,Jay Gruden,True
2021,WAS,Scott Turner,Scott Turner,False
2022,WAS,Scott Turner,Scott Turner,False
2023,WAS,Eric Bieniemy,Scott Turner,True
2024,WAS,Kliff Kingsbury,Eric Bieniemy,True
2025,WAS,Kliff Kingsbury,Kliff Kingsbury,False
