"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Anthony Richardson Sr.","IND","35.0","23.0","254.0","2.0","1.0","9.0","38.0","0.0","0.0","21.0"
"Marcus Mariota","WAS","34.8","22.2","256.6","2.0","0.8","1.4","7.9","0.0","0.1","18.1"
"Davis Mills","HOU","27.2","16.7","182.5","1.3","0.5","2.7","9.0","0.0","0.1","12.7"
"Joe Milton III","DAL","23.9","15.3","172.5","1.1","0.5","3.5","16.3","0.0","0.1","12.2"
"Justin Fields","KC","26.2","16.3","175.1","1.0","0.8","3.6","18.4","0.1","0.1","12.0"
"Shane Buechele","BUF","20.0","13.0","150.0","1.0","0.0","4.0","20.0","0.0","0.0","12.0"
"Jameis Winston","NYG","26.1","15.5","194.8","1.3","1.3","2.6","10.9","0.0","0.6","11.7"
"Kenny Pickett","CAR","22.5","14.4","155.5","1.3","0.8","2.8","10.9","0.0","0.1","11.6"
"Quinn Ewers","MIA","24.5","16.0","167.6","1.2","0.9","3.0","11.7","0.0","0.1","11.5"
"Tyson Bagent","CHI","23.0","14.7","168.0","1.0","0.2","2.8","8.6","0.0","0.1","11.4"
"Will Levis","TEN","23.0","14.0","137.0","1.0","0.0","4.0","19.0","0.0","0.0","11.4"
"Jake Browning","TB","22.5","14.3","157.4","1.0","0.9","3.1","15.7","0.0","0.1","11.2"
"Jarrett Stidham","DEN","23.1","14.4","152.2","1.1","0.3","3.3","12.9","0.0","0.1","11.2"
"Teddy Bridgewater","DET","21.8","13.7","157.9","1.0","0.4","3.1","8.9","0.0","0.0","11.0"
"Tyrod Taylor","GB","25.0","15.4","173.5","0.9","0.8","2.1","10.7","0.0","0.2","10.9"
"Tommy DeVito","NE","22.5","14.7","149.8","1.0","0.4","1.9","9.5","0.1","0.1","10.6"
"Tyler Huntley","BAL","18.3","11.8","130.8","0.9","0.3","3.5","18.7","0.0","0.1","10.6"
