# 2026 Vegas-based season player projections (stat lines from firstdown.studio/season-rankings, pulled 2026-07-12).
# blend_vegas.py runs these through custom scoring and blends 50/50 into total_points. Update as lines move.
# QB interceptions not provided by source -> 0 (minor; blend with FP tempers it).
name,position,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td
Jalen Coker,WR,0,0,0,0,59,612,5
Romeo Doubs,WR,0,0,0,0,57,612,4.6
Jayden Higgins,WR,0,0,0,0,57,575,5
K.C. Concepcion,WR,0,0,0,0,58,608,4
Jalen Nailor,WR,0,0,0,0,50,650,4
Jalen McMillan,WR,0,0,0,0,46,591,4
Brandon Aiyuk,WR,0,0,0,0,45,591,4
Deebo Samuel,WR,0,0,0,0,42,472,4
Jerry Jeudy,WR,0,0,0,0,43,612,3
Jauan Jennings,WR,0,0,0,0,43,541,4
Calvin Ridley,WR,0,0,0,0,27,600,3.4
Tre' Harris,WR,0,0,0,0,39,493,4
Keenan Allen,WR,0,0,0,0,38,390,3
Cooper Kupp,WR,0,0,0,0,32,364,3
Travis Hunter,WR,0,0,0,0,35,415,3
Rashod Bateman,WR,0,0,0,0,28,450,3
Darius Slayton,WR,0,0,0,0,28,406,3
Adonai Mitchell,WR,0,0,0,0,35,443,3
Tank Dell,WR,0,0,0,0,33,439,3
Trey McBride,TE,0,0,0,0,99,991,6.5
Brock Bowers,TE,0,0,0,0,93,875,7.3
Colston Loveland,TE,0,0,0,0,80,783,5.2
Tyler Warren,TE,0,0,0,0,80,741,4.6
Harold Fannin,TE,0,0,0,0,74,675,5
Travis Kelce,TE,0,0,0,0,67,700,4.7
Kyle Pitts,TE,0,0,0,0,66,762,3.6
Sam LaPorta,TE,0,0,0,0,74,630,4.8
George Kittle,TE,0,0,0,0,59,675,5
Tucker Kraft,TE,0,0,0,0,67,637,4.7
Oronde Gadsden,TE,0,0,0,0,57,636,5
Isaiah Likely,TE,0,0,0,0,59,625,3.5
Mark Andrews,TE,0,0,0,0,57,500,5.6
AJ Barner,TE,0,0,0,0,58,530,4
Dallas Goedert,TE,0,0,0,0,53,575,4.8
Jake Ferguson,TE,0,0,0,0,70,500,4.6
Brenton Strange,TE,0,0,0,0,60,490,5
Dalton Kincaid,TE,0,0,0,0,63,542,3.7
Juwan Johnson,TE,0,0,0,0,54,550,4
Hunter Henry,TE,0,0,0,0,55,500,4.2
Dalton Schultz,TE,0,0,0,0,55,500,4
Chig Okonkwo,TE,0,0,0,0,61,475,4
T.J. Hockenson,TE,0,0,0,0,57,500,3
Pat Freiermuth,TE,0,0,0,0,51,450,4
Cade Otton,TE,0,0,0,0,56,425,3
Mike Gesicki,TE,0,0,0,0,42,449,3
Darnell Washington,TE,0,0,0,0,35,359,3
